,Open,High,Low,Close,Volume,Region,Change In Price (%),Month,Day of Week
2013-03-05,1485.0400390625,1486.72998046875,1485.0400390625,1486.4200439453125,0,,0.09292711620648907,Mar,Tuesday
2013-03-06,1485.0400390625,1498.02001953125,1485.0400390625,1491.489990234375,0,,0.4343284357468792,Mar,Wednesday
2013-03-07,1491.989990234375,1498.2900390625,1489.02001953125,1491.3499755859375,0,,-0.0428967119502565,Mar,Thursday
2013-03-11,1503.97998046875,1506.4200439453125,1503.6400146484375,1505.9300537109375,0,,0.1296608510426924,Mar,Monday
2013-03-12,1501.4100341796875,1501.4100341796875,1499.3800048828125,1499.739990234375,0,,-0.1112317026857322,Mar,Tuesday
2013-03-13,1495.72998046875,1496.6800537109375,1494.949951171875,1495.8800048828125,0,,0.010030180314730573,Mar,Wednesday
2013-03-14,1498.8299560546875,1502.52001953125,1498.1800537109375,1502.52001953125,0,,0.24619627207583392,Mar,Thursday
2013-03-15,1495.7099609375,1497.9000244140625,1494.5799560546875,1496.5699462890625,0,,0.05749679911361073,Mar,Friday
2013-03-18,1461.8800048828125,1464.550048828125,1461.3599853515625,1462.56005859375,0,,0.046519119809153874,Mar,Monday
2013-03-19,1448.8399658203125,1450.1099853515625,1442.6800537109375,1445.3399658203125,0,,-0.241572574098503,Mar,Tuesday
2013-03-20,1458.239990234375,1461.3599853515625,1457.9300537109375,1458.7900390625,0,,0.03772004826424995,Mar,Wednesday
2013-03-21,1459.1700439453125,1460.3900146484375,1457.2900390625,1458.52001953125,0,,-0.044547543773922345,Mar,Thursday
2013-03-22,1441.260009765625,1442.8800048828125,1439.56005859375,1440.989990234375,0,,-0.01873496311702356,Mar,Friday
2013-03-26,1416.780029296875,1420.1199951171875,1416.780029296875,1420.02001953125,0,,0.22868689333396058,Mar,Tuesday
2013-03-27,1424.56005859375,1425.6700439453125,1421.739990234375,1424.550048828125,0,,-0.0007026566247323478,Mar,Wednesday
2013-03-28,1434.8800048828125,1437.5,1433.6600341796875,1436.6199951171875,0,,0.12126381498480118,Mar,Thursday
2013-04-01,1428.2900390625,1429.5699462890625,1427.010009765625,1427.7099609375,0,,-0.04061346849276855,Apr,Monday
2013-04-02,1430.300048828125,1432.3699951171875,1428.469970703125,1428.6800537109375,0,,-0.11326260657788527,Apr,Tuesday
