,Open,High,Low,Close,Volume,Region,Change In Price (%),Month,Day of Week
2010-01-04,32120.740234375,32758.529296875,32120.740234375,32758.529296875,136257800,Latin America,1.9855988929465902,Jan,Monday
2010-01-05,32729.30078125,33073.7109375,32628.240234375,32732.759765625,165541900,Latin America,0.01056846401369377,Jan,Tuesday
2010-01-06,32730.419921875,32922.12109375,32639.439453125,32830.16015625,126000100,Latin America,0.3047325228734379,Jan,Wednesday
2010-01-07,32830.21875,33069.78125,32670.98046875,33064.5703125,123563200,Latin America,0.7138288181524833,Jan,Thursday
2010-01-08,33067.5703125,33080.05078125,32779.66015625,32892.0390625,109516900,Latin America,-0.5308259673788212,Jan,Friday
2010-01-11,32892.109375,33047.23046875,32711.0390625,32935.37890625,150332200,Latin America,0.13154988254686842,Jan,Monday
2010-01-12,32950.33984375,32976.609375,32719.619140625,32792.66015625,139205800,Latin America,-0.478537363340453,Jan,Tuesday
2010-01-13,32792.87109375,32929.3203125,32607.939453125,32836.078125,143683200,Latin America,0.13175739058186592,Jan,Wednesday
2010-01-14,32843.55859375,32847.9296875,32429.669921875,32729.580078125,447963200,Latin America,-0.34703461045384304,Jan,Thursday
2010-01-15,32725.41015625,32728.41015625,32262.099609375,32262.30078125,318270300,Latin America,-1.4151369617335536,Jan,Friday
2010-01-18,32262.529296875,32491.48046875,32262.529296875,32482.73046875,32108200,Latin America,0.6825291651771674,Jan,Monday
2010-01-19,32493.359375,32618.009765625,32367.859375,32473.05078125,213255300,Latin America,-0.06250075135544522,Jan,Tuesday
2010-01-20,32466.0390625,32466.0390625,31946.76953125,32025.33984375,215329000,Latin America,-1.3574160306454846,Jan,Wednesday
2010-01-21,32033.849609375,32151.80078125,31181.720703125,31205.30078125,243330800,Latin America,-2.586479109530806,Jan,Thursday
2010-01-22,31203.099609375,31212.55078125,30612.060546875,30830.91015625,210227600,Latin America,-1.1927964137677378,Jan,Friday
2010-01-25,30831.400390625,31080.98046875,30465.060546875,30465.060546875,196961600,Latin America,-1.1882037115037891,Jan,Monday
