,Open,High,Low,Close,Volume,Region,Change In Price (%),Month,Day of Week
2010-01-04,628.1099853515625,640.0999755859375,628.1099853515625,640.0999755859375,3991400000,US & Canada,1.9088997968507098,Jan,Monday
2010-01-05,639.6900024414062,641.8900146484375,635.9500122070312,638.489990234375,2491020000,US & Canada,-0.1875927718819035,Jan,Tuesday
2010-01-06,638.2899780273438,641.260009765625,636.4000244140625,637.9500122070312,4972660000,US & Canada,-0.05326197058007641,Jan,Wednesday
2010-01-07,638.1099853515625,642.0700073242188,632.739990234375,641.969970703125,5270680000,US & Canada,0.6049090972045934,Jan,Thursday
2010-01-08,640.3400268554688,644.6900024414062,639.5599975585938,644.5599975585938,4389590000,US & Canada,0.6590202901805309,Jan,Friday
2010-01-11,647.3200073242188,648.4000244140625,641.3900146484375,643.989990234375,4255780000,US & Canada,-0.5144313557692751,Jan,Monday
2010-01-12,639.9600219726562,641.1400146484375,633.6199951171875,635.5,4716160000,US & Canada,-0.6969219669235549,Jan,Tuesday
2010-01-13,637.1500244140625,644.7899780273438,633.260009765625,643.5599975585938,4170360000,US & Canada,1.006038279669848,Jan,Wednesday
2010-01-14,643.5599975585938,647.8699951171875,642.1599731445312,646.4299926757812,3915200000,US & Canada,0.44595610791147683,Jan,Thursday
2010-01-15,647.5700073242188,648.1199951171875,633.6900024414062,637.9600219726562,4758730000,US & Canada,-1.4840071718687662,Jan,Friday
2010-01-19,637.9400024414062,649.1500244140625,637.9400024414062,649.1500244140625,4724830000,US & Canada,1.757221984787805,Jan,Tuesday
2010-01-20,645.780029296875,645.780029296875,633.02001953125,639.6099853515625,4810560000,US & Canada,-0.9554405006965672,Jan,Wednesday
2010-01-21,640.1500244140625,643.77001953125,627.6400146484375,628.3599853515625,6874290000,US & Canada,-1.841761870319629,Jan,Thursday
2010-01-22,627.7000122070312,630.5999755859375,615.52001953125,617.1199951171875,6208650000,US & Canada,-1.6855212496561485,Jan,Friday
2010-01-25,618.75,621.780029296875,614.1799926757812,618.1099853515625,4481390000,US & Canada,-0.10343671085858586,Jan,Monday
2010-01-26,616.4299926757812,619.97998046875,611.9199829101562,612.1599731445312,4731910000,US & Canada,-0.6927014554750693,Jan,Tuesday
2010-01-27,610.2899780273438,618.760009765625,607.9199829101562,618.3800048828125,5319120000,US & Canada,1.32560375341872,Jan,Wednesday
2010-01-28,619.6500244140625,620.1799926757812,603.260009765625,607.9299926757812,5452400000,US & Canada,-1.8913953484248864,Jan,Thursday
2010-01-29,610.0,616.030029296875,600.530029296875,602.0399780273438,5412850000,US & Canada,-1.3049216348616803,Jan,Friday
2010-02-01,602.219970703125,609.27001953125,602.219970703125,609.25,4077610000,US & Canada,1.1673524025892157,Feb,Monday
2010-02-02,609.7899780273438,615.5999755859375,607.3499755859375,614.0499877929688,4749540000,US & Canada,0.6986027844219467,Feb,Tuesday
