,Country,Year,EPSI
0,Greece,1990,1.0
1,Greece,1991,1.0
2,Greece,1992,1.0
3,Greece,1993,1.0
4,Greece,1994,1.0
5,Greece,1995,1.0
6,Greece,1996,1.0
7,Greece,1997,1.0
8,Greece,1998,1.0
9,Greece,1999,1.0
10,Greece,2000,5.0
11,Greece,2001,5.0
12,Greece,2002,5.0
13,Greece,2003,5.0
14,Greece,2004,5.0
15,Greece,2005,5.0
16,Greece,2006,5.0
17,Greece,2007,5.0
18,Greece,2008,5.0
19,Greece,2009,6.0
20,Greece,2010,6.0
21,Greece,2011,6.0
22,Greece,2012,6.0
23,Greece,2013,6.0
24,Greece,2014,6.0
25,Greece,2015,6.0
26,Greece,2016,6.0
27,Greece,2017,6.0
28,Greece,2018,6.0
29,Greece,2019,6.0
30,Greece,2020,6.0
31,Portugal,1990,1.0
32,Portugal,1991,1.0
33,Portugal,1992,1.0
34,Portugal,1993,1.0
35,Portugal,1994,1.0
36,Portugal,1995,1.0
37,Portugal,1996,1.0
38,Portugal,1997,1.0
39,Portugal,1998,1.0
40,Portugal,1999,1.0
41,Portugal,2000,1.0
42,Portugal,2001,1.0
43,Portugal,2002,1.0
44,Portugal,2003,1.0
45,Portugal,2004,1.0
46,Portugal,2005,1.0
47,Portugal,2006,1.0
48,Portugal,2007,1.0
49,Portugal,2008,1.0
50,Portugal,2009,1.0
51,Portugal,2010,1.0
52,Portugal,2011,1.0
53,Portugal,2012,1.0
54,Portugal,2013,1.0
55,Portugal,2014,1.0
56,Portugal,2015,1.0
57,Portugal,2016,1.0
58,Portugal,2017,1.0
59,Portugal,2018,1.0
60,Portugal,2019,2.0
61,Portugal,2020,2.0
62,France,1990,0.0
63,France,1991,0.0
64,France,1992,0.0
65,France,1993,0.0
66,France,1994,0.0
67,France,1995,0.0
68,France,1996,0.0
69,France,1997,0.0
70,France,1998,0.0
71,France,1999,0.0
72,France,2000,0.0
73,France,2001,1.0
74,France,2002,1.0
75,France,2003,1.0
76,France,2004,1.0
77,France,2005,1.0
78,France,2006,2.0
79,France,2007,3.0
80,France,2008,3.0
81,France,2009,4.0
82,France,2010,5.0
83,France,2011,5.0
84,France,2012,6.0
85,France,2013,6.0
86,France,2014,6.0
87,France,2015,3.0
88,France,2016,2.0
89,France,2017,3.0
90,France,2018,4.0
91,France,2019,4.0
92,France,2020,4.0
93,Belgium,1990,0.8888889
94,Belgium,1991,0.8888889
95,Belgium,1992,0.94444442
96,Belgium,1993,0.94444442
97,Belgium,1994,1.1111112
98,Belgium,1995,1.1111112
99,Belgium,1996,1.1111112
100,Belgium,1997,1.1111112
101,Belgium,1998,1.2777778
102,Belgium,1999,1.1111112
103,Belgium,2000,1.5555556
104,Belgium,2001,1.5555556
105,Belgium,2002,1.6111112
106,Belgium,2003,1.5555556
107,Belgium,2004,2.4722223
108,Belgium,2005,2.5833333
109,Belgium,2006,2.6388888
110,Belgium,2007,2.3055556
111,Belgium,2008,2.6388888
112,Belgium,2009,2.6666667
113,Belgium,2010,2.5555556
114,Belgium,2011,2.9444444
115,Belgium,2012,3.0555556
116,Belgium,2013,2.9444444
117,Belgium,2014,2.9444444
118,Belgium,2015,2.8333333
119,Belgium,2016,2.8888888
120,Belgium,2017,2.9444444
121,Belgium,2018,3.0
122,Belgium,2019,3.2222223
123,Belgium,2020,3.4444444
124,Switzerland,1990,1.0
125,Switzerland,1991,1.0
126,Switzerland,1992,1.0
127,Switzerland,1993,1.0
128,Switzerland,1994,4.0
129,Switzerland,1995,4.0
130,Switzerland,1996,4.0
131,Switzerland,1997,4.0
132,Switzerland,1998,4.0
133,Switzerland,1999,4.0
134,Switzerland,2000,5.0
135,Switzerland,2001,5.0
136,Switzerland,2002,5.0
137,Switzerland,2003,5.0
138,Switzerland,2004,5.0
139,Switzerland,2005,5.0
140,Switzerland,2006,5.0
141,Switzerland,2007,5.0
142,Switzerland,2008,5.0
143,Switzerland,2009,6.0
144,Switzerland,2010,6.0
145,Switzerland,2011,6.0
146,Switzerland,2012,6.0
147,Switzerland,2013,6.0
148,Switzerland,2014,6.0
149,Switzerland,2015,6.0
150,Switzerland,2016,6.0
151,Switzerland,2017,6.0
152,Switzerland,2018,6.0
153,Switzerland,2019,6.0
154,Switzerland,2020,6.0
155,Czech Republic,1990,0.0
156,Czech Republic,1991,1.0
157,Czech Republic,1992,1.0
158,Czech Republic,1993,1.0
159,Czech Republic,1994,1.0
160,Czech Republic,1995,1.0
161,Czech Republic,1996,1.0
162,Czech Republic,1997,1.0
163,Czech Republic,1998,1.0
164,Czech Republic,1999,1.0
165,Czech Republic,2000,1.0
166,Czech Republic,2001,1.0
167,Czech Republic,2002,1.0
168,Czech Republic,2003,1.0
169,Czech Republic,2004,1.0
170,Czech Republic,2005,1.0
171,Czech Republic,2006,1.0
172,Czech Republic,2007,1.0
173,Czech Republic,2008,1.0
174,Czech Republic,2009,1.0
175,Czech Republic,2010,1.0
176,Czech Republic,2011,1.0
177,Czech Republic,2012,1.0
178,Czech Republic,2013,1.0
179,Czech Republic,2014,1.0
180,Czech Republic,2015,1.0
181,Czech Republic,2016,1.0
182,Czech Republic,2017,1.0
183,Czech Republic,2018,2.0
184,Czech Republic,2019,2.0
185,Czech Republic,2020,2.0
186,Japan,1990,0.0
187,Japan,1991,0.0
188,Japan,1992,0.0
189,Japan,1993,0.0
190,Japan,1994,0.0
191,Japan,1995,0.0
192,Japan,1996,0.0
193,Japan,1997,0.0
194,Japan,1998,0.0
195,Japan,1999,0.0
196,Japan,2000,0.0
197,Japan,2001,0.0
198,Japan,2002,0.0
199,Japan,2003,0.0
200,Japan,2004,6.0
201,Japan,2005,6.0
202,Japan,2006,6.0
203,Japan,2007,6.0
204,Japan,2008,6.0
205,Japan,2009,6.0
206,Japan,2010,6.0
207,Japan,2011,6.0
208,Japan,2012,6.0
209,Japan,2013,6.0
210,Japan,2014,6.0
211,Japan,2015,6.0
212,Japan,2016,6.0
213,Japan,2017,6.0
214,Japan,2018,6.0
215,Japan,2019,6.0
216,Japan,2020,6.0
217,Denmark,1990,2.0
218,Denmark,1991,2.0
219,Denmark,1992,3.0
220,Denmark,1993,2.0
221,Denmark,1994,2.0
222,Denmark,1995,2.0
223,Denmark,1996,2.0
224,Denmark,1997,2.0
225,Denmark,1998,2.0
226,Denmark,1999,2.0
227,Denmark,2000,2.0
228,Denmark,2001,2.0
229,Denmark,2002,1.0
230,Denmark,2003,1.0
231,Denmark,2004,2.0
232,Denmark,2005,3.0
233,Denmark,2006,3.0
234,Denmark,2007,4.0
235,Denmark,2008,3.0
236,Denmark,2009,4.0
237,Denmark,2010,6.0
238,Denmark,2011,6.0
239,Denmark,2012,5.0
240,Denmark,2013,5.0
241,Denmark,2014,5.0
242,Denmark,2015,4.0
243,Denmark,2016,3.0
244,Denmark,2017,3.0
245,Denmark,2018,3.0
246,Denmark,2019,3.0
247,Denmark,2020,3.0
248,Italy,1990,1.0
249,Italy,1991,1.0
250,Italy,1992,1.0
251,Italy,1993,1.0
252,Italy,1994,1.0
253,Italy,1995,1.0
254,Italy,1996,1.0
255,Italy,1997,1.0
256,Italy,1998,1.0
257,Italy,1999,1.0
258,Italy,2000,1.0
259,Italy,2001,1.0
260,Italy,2002,1.0
261,Italy,2003,1.0
262,Italy,2004,1.0
263,Italy,2005,1.0
264,Italy,2006,4.0
265,Italy,2007,4.0
266,Italy,2008,4.0
267,Italy,2009,4.0
268,Italy,2010,4.0
269,Italy,2011,4.0
270,Italy,2012,4.0
271,Italy,2013,6.0
272,Italy,2014,6.0
273,Italy,2015,6.0
274,Italy,2016,6.0
275,Italy,2017,6.0
276,Italy,2018,6.0
277,Italy,2019,6.0
278,Italy,2020,6.0
279,Spain,1990,0.0
280,Spain,1991,0.0
281,Spain,1992,0.0
282,Spain,1993,0.0
283,Spain,1994,1.0
284,Spain,1995,1.0
285,Spain,1996,1.0
286,Spain,1997,1.0
287,Spain,1998,1.0
288,Spain,1999,2.0
289,Spain,2000,2.0
290,Spain,2001,2.0
291,Spain,2002,2.0
292,Spain,2003,2.0
293,Spain,2004,2.0
294,Spain,2005,2.0
295,Spain,2006,2.0
296,Spain,2007,3.0
297,Spain,2008,2.0
298,Spain,2009,3.0
299,Spain,2010,3.0
300,Spain,2011,3.0
301,Spain,2012,4.0
302,Spain,2013,0.0
303,Spain,2014,0.0
304,Spain,2015,0.0
305,Spain,2016,0.0
306,Spain,2017,0.0
307,Spain,2018,0.0
308,Spain,2019,0.0
309,Spain,2020,0.0
310,Portugal,1990,5.0
311,Portugal,1991,5.0
312,Portugal,1992,6.0
313,Portugal,1993,5.0
314,Portugal,1994,5.0
315,Portugal,1995,6.0
316,Portugal,1996,5.0
317,Portugal,1997,5.0
318,Portugal,1998,6.0
319,Portugal,1999,5.0
320,Portugal,2000,4.0
321,Portugal,2001,4.0
322,Portugal,2002,5.0
323,Portugal,2003,5.0
324,Portugal,2004,5.0
325,Portugal,2005,4.0
326,Portugal,2006,4.0
327,Portugal,2007,4.0
328,Portugal,2008,4.0
329,Portugal,2009,4.0
330,Portugal,2010,4.0
331,Portugal,2011,3.0
332,Portugal,2012,3.0
333,Portugal,2013,3.0
334,Portugal,2014,4.0
335,Portugal,2015,4.0
336,Portugal,2016,5.0
337,Portugal,2017,5.0
338,Portugal,2018,4.0
339,Portugal,2019,4.0
340,Portugal,2020,5.0
341,Sweden,1990,0.0
342,Sweden,1991,0.0
343,Sweden,1992,0.0
344,Sweden,1993,0.0
345,Sweden,1994,0.0
346,Sweden,1995,0.0
347,Sweden,1996,0.0
348,Sweden,1997,0.0
349,Sweden,1998,0.0
350,Sweden,1999,0.0
351,Sweden,2000,1.0
352,Sweden,2001,1.0
353,Sweden,2002,4.0
354,Sweden,2003,4.0
355,Sweden,2004,4.0
356,Sweden,2005,4.0
357,Sweden,2006,4.0
358,Sweden,2007,4.0
359,Sweden,2008,4.0
360,Sweden,2009,4.0
361,Sweden,2010,4.0
362,Sweden,2011,4.0
363,Sweden,2012,4.0
364,Sweden,2013,6.0
365,Sweden,2014,6.0
366,Sweden,2015,6.0
367,Sweden,2016,6.0
368,Sweden,2017,6.0
369,Sweden,2018,6.0
370,Sweden,2019,6.0
371,Sweden,2020,6.0
372,Sweden,1990,0.0
373,Sweden,1991,0.0
374,Sweden,1992,0.0
375,Sweden,1993,0.0
376,Sweden,1994,0.0
377,Sweden,1995,0.0
378,Sweden,1996,0.0
379,Sweden,1997,0.0
380,Sweden,1998,0.0
381,Sweden,1999,0.0
382,Sweden,2000,0.0
383,Sweden,2001,0.0
384,Sweden,2002,0.0
385,Sweden,2003,0.0
386,Sweden,2004,0.0
387,Sweden,2005,0.0
388,Sweden,2006,0.0
389,Sweden,2007,0.0
390,Sweden,2008,0.0
391,Sweden,2009,0.0
392,Sweden,2010,0.0
393,Sweden,2011,0.0
394,Sweden,2012,0.0
395,Sweden,2013,0.0
396,Sweden,2014,0.0
397,Sweden,2015,0.0
398,Sweden,2016,0.0
399,Sweden,2017,0.0
400,Sweden,2018,0.0
401,Sweden,2019,0.0
402,Sweden,2020,0.0
403,Spain,1990,0.66666669
404,Spain,1991,0.83333331
405,Spain,1992,0.83333331
406,Spain,1993,0.83333331
407,Spain,1994,0.83333331
408,Spain,1995,0.83333331
409,Spain,1996,0.83333331
410,Spain,1997,0.83333331
411,Spain,1998,0.83333331
412,Spain,1999,0.83333331
413,Spain,2000,0.66666669
414,Spain,2001,0.66666669
415,Spain,2002,0.66666669
416,Spain,2003,0.66666669
417,Spain,2004,0.66666669
418,Spain,2005,0.83333331
419,Spain,2006,1.1666666
420,Spain,2007,0.66666669
421,Spain,2008,1.1666666
422,Spain,2009,1.0
423,Spain,2010,0.83333331
424,Spain,2011,1.0
425,Spain,2012,0.66666669
426,Spain,2013,0.66666669
427,Spain,2014,1.1666666
428,Spain,2015,1.1666666
429,Spain,2016,0.83333331
430,Spain,2017,0.83333331
431,Spain,2018,1.3333334
432,Spain,2019,1.3333334
433,Spain,2020,1.5
434,United Kingdom,1990,1.1111112
435,United Kingdom,1991,1.1111112
436,United Kingdom,1992,1.1111112
437,United Kingdom,1993,0.94444442
438,United Kingdom,1994,1.0
439,United Kingdom,1995,1.0
440,United Kingdom,1996,1.0
441,United Kingdom,1997,1.0
442,United Kingdom,1998,1.0
443,United Kingdom,1999,1.0
444,United Kingdom,2000,1.3333334
445,United Kingdom,2001,1.3333334
446,United Kingdom,2002,1.3333334
447,United Kingdom,2003,2.1388888
448,United Kingdom,2004,2.1388888
449,United Kingdom,2005,2.3055556
450,United Kingdom,2006,2.4166667
451,United Kingdom,2007,2.25
452,United Kingdom,2008,2.4722223
453,United Kingdom,2009,2.6666667
454,United Kingdom,2010,3.3611112
455,United Kingdom,2011,3.3333333
456,United Kingdom,2012,2.8888888
457,United Kingdom,2013,3.2222223
458,United Kingdom,2014,3.75
459,United Kingdom,2015,3.8611112
460,United Kingdom,2016,3.3611112
461,United Kingdom,2017,3.4722223
462,United Kingdom,2018,3.5277777
463,United Kingdom,2019,3.5277777
464,United Kingdom,2020,3.6111112
465,Poland,1990,1.0
466,Poland,1991,1.0
467,Poland,1992,1.0
468,Poland,1993,1.0
469,Poland,1994,1.0
470,Poland,1995,1.0
471,Poland,1996,1.0
472,Poland,1997,1.0
473,Poland,1998,1.0
474,Poland,1999,1.0
475,Poland,2000,1.0
476,Poland,2001,1.0
477,Poland,2002,1.0
478,Poland,2003,1.0
479,Poland,2004,1.0
480,Poland,2005,1.0
481,Poland,2006,1.0
482,Poland,2007,1.0
483,Poland,2008,1.0
484,Poland,2009,1.0
485,Poland,2010,1.0
486,Poland,2011,1.0
487,Poland,2012,1.0
488,Poland,2013,1.0
489,Poland,2014,1.0
490,Poland,2015,1.0
491,Poland,2016,1.0
492,Poland,2017,1.0
493,Poland,2018,1.0
494,Poland,2019,1.0
495,Poland,2020,1.0
496,United States,1990,1.0
497,United States,1991,1.0
498,United States,1992,1.0
499,United States,1993,1.0
500,United States,1994,1.0
501,United States,1995,1.0
502,United States,1996,1.0
503,United States,1997,1.0
504,United States,1998,1.0
505,United States,1999,1.0
506,United States,2000,1.0
507,United States,2001,1.0
508,United States,2002,1.0
509,United States,2003,1.0
510,United States,2004,1.0
511,United States,2005,1.0
512,United States,2006,3.0
513,United States,2007,3.0
514,United States,2008,3.0
515,United States,2009,3.0
516,United States,2010,3.0
517,United States,2011,3.0
518,United States,2012,4.0
519,United States,2013,4.0
520,United States,2014,4.0
521,United States,2015,4.0
522,United States,2016,6.0
523,United States,2017,6.0
524,United States,2018,6.0
525,United States,2019,6.0
526,United States,2020,6.0
527,Japan,1990,1.5833334
528,Japan,1991,1.5833334
529,Japan,1992,1.5833334
530,Japan,1993,1.5833334
531,Japan,1994,1.6388888
532,Japan,1995,1.75
533,Japan,1996,1.9444444
534,Japan,1997,1.9444444
535,Japan,1998,2.1111112
536,Japan,1999,2.6111112
537,Japan,2000,2.6944444
538,Japan,2001,2.6944444
539,Japan,2002,2.6944444
540,Japan,2003,2.75
541,Japan,2004,3.0277777
542,Japan,2005,3.0277777
543,Japan,2006,2.9722223
544,Japan,2007,3.0555556
545,Japan,2008,3.0
546,Japan,2009,3.1111112
547,Japan,2010,3.2222221
548,Japan,2011,3.4166667
549,Japan,2012,4.0555553
550,Japan,2013,3.8333333
551,Japan,2014,3.8333333
552,Japan,2015,3.7222221
553,Japan,2016,3.9444444
554,Japan,2017,3.8888888
555,Japan,2018,3.6111112
556,Japan,2019,3.7777777
557,Japan,2020,3.7777777
558,Denmark,1990,0.25
559,Denmark,1991,1.5
560,Denmark,1992,1.5
561,Denmark,1993,1.5
562,Denmark,1994,1.5
563,Denmark,1995,1.5
564,Denmark,1996,1.5
565,Denmark,1997,1.5
566,Denmark,1998,1.5
567,Denmark,1999,1.5
568,Denmark,2000,2.5
569,Denmark,2001,2.5
570,Denmark,2002,2.5
571,Denmark,2003,4.75
572,Denmark,2004,4.75
573,Denmark,2005,4.75
574,Denmark,2006,4.75
575,Denmark,2007,4.75
576,Denmark,2008,4.75
577,Denmark,2009,5.0
578,Denmark,2010,5.0
579,Denmark,2011,5.0
580,Denmark,2012,5.0
581,Denmark,2013,5.5
582,Denmark,2014,5.5
583,Denmark,2015,5.5
584,Denmark,2016,5.5
585,Denmark,2017,5.5
586,Denmark,2018,5.5
587,Denmark,2019,5.5
588,Denmark,2020,5.5
589,Netherlands,1990,0.0
590,Netherlands,1991,0.0
591,Netherlands,1992,0.0
592,Netherlands,1993,0.0
593,Netherlands,1994,0.0
594,Netherlands,1995,0.0
595,Netherlands,1996,0.0
596,Netherlands,1997,0.0
597,Netherlands,1998,0.0
598,Netherlands,1999,0.0
599,Netherlands,2000,0.0
600,Netherlands,2001,0.0
601,Netherlands,2002,0.0
602,Netherlands,2003,0.0
603,Netherlands,2004,0.0
604,Netherlands,2005,0.0
605,Netherlands,2006,0.0
606,Netherlands,2007,0.0
607,Netherlands,2008,0.0
608,Netherlands,2009,0.0
609,Netherlands,2010,0.0
610,Netherlands,2011,0.0
611,Netherlands,2012,0.0
612,Netherlands,2013,0.0
613,Netherlands,2014,0.0
614,Netherlands,2015,0.0
615,Netherlands,2016,0.0
616,Netherlands,2017,0.0
617,Netherlands,2018,0.0
618,Netherlands,2019,0.0
619,Netherlands,2020,0.0
620,Ireland,1990,0.0
621,Ireland,1991,0.0
622,Ireland,1992,0.0
623,Ireland,1993,0.0
624,Ireland,1994,0.0
625,Ireland,1995,0.0
626,Ireland,1996,3.0
627,Ireland,1997,3.0
628,Ireland,1998,3.0
629,Ireland,1999,3.0
630,Ireland,2000,3.0
631,Ireland,2001,3.0
632,Ireland,2002,3.0
633,Ireland,2003,5.0
634,Ireland,2004,5.0
635,Ireland,2005,5.0
636,Ireland,2006,5.0
637,Ireland,2007,5.0
638,Ireland,2008,5.0
639,Ireland,2009,5.0
640,Ireland,2010,5.0
641,Ireland,2011,5.0
642,Ireland,2012,5.0
643,Ireland,2013,5.0
644,Ireland,2014,5.0
645,Ireland,2015,5.0
646,Ireland,2016,5.0
647,Ireland,2017,5.0
648,Ireland,2018,5.0
649,Ireland,2019,5.0
650,Ireland,2020,5.0
651,Belgium,1990,1.0
652,Belgium,1991,1.0
653,Belgium,1992,1.0
654,Belgium,1993,1.0
655,Belgium,1994,1.0
656,Belgium,1995,1.0
657,Belgium,1996,1.0
658,Belgium,1997,1.0
659,Belgium,1998,1.0
660,Belgium,1999,1.0
661,Belgium,2000,1.0
662,Belgium,2001,1.0
663,Belgium,2002,1.0
664,Belgium,2003,1.0
665,Belgium,2004,5.0
666,Belgium,2005,5.0
667,Belgium,2006,5.0
668,Belgium,2007,5.0
669,Belgium,2008,5.0
670,Belgium,2009,5.0
671,Belgium,2010,5.0
672,Belgium,2011,5.0
673,Belgium,2012,5.0
674,Belgium,2013,5.0
675,Belgium,2014,5.0
676,Belgium,2015,5.0
677,Belgium,2016,5.0
678,Belgium,2017,5.0
679,Belgium,2018,5.0
680,Belgium,2019,5.0
681,Belgium,2020,5.0
682,Denmark,1990,0.0
683,Denmark,1991,0.0
684,Denmark,1992,0.0
685,Denmark,1993,0.0
686,Denmark,1994,0.0
687,Denmark,1995,0.0
688,Denmark,1996,0.0
689,Denmark,1997,0.0
690,Denmark,1998,0.0
691,Denmark,1999,0.0
692,Denmark,2000,0.0
693,Denmark,2001,0.0
694,Denmark,2002,0.0
695,Denmark,2003,0.0
696,Denmark,2004,0.0
697,Denmark,2005,2.0
698,Denmark,2006,4.0
699,Denmark,2007,1.0
700,Denmark,2008,4.0
701,Denmark,2009,2.0
702,Denmark,2010,2.0
703,Denmark,2011,3.0
704,Denmark,2012,1.0
705,Denmark,2013,1.0
706,Denmark,2014,1.0
707,Denmark,2015,1.0
708,Denmark,2016,1.0
709,Denmark,2017,1.0
710,Denmark,2018,2.0
711,Denmark,2019,3.0
712,Denmark,2020,3.0
713,Finland,1990,0.0
714,Finland,1991,0.0
715,Finland,1992,0.0
716,Finland,1993,0.0
717,Finland,1994,0.0
718,Finland,1995,0.0
719,Finland,1996,0.0
720,Finland,1997,0.0
721,Finland,1998,0.0
722,Finland,1999,0.0
723,Finland,2000,0.0
724,Finland,2001,0.0
725,Finland,2002,0.0
726,Finland,2003,0.0
727,Finland,2004,0.0
728,Finland,2005,0.0
729,Finland,2006,0.0
730,Finland,2007,0.0
731,Finland,2008,0.0
732,Finland,2009,0.0
733,Finland,2010,0.0
734,Finland,2011,0.0
735,Finland,2012,0.0
736,Finland,2013,0.0
