Country,EPSI,Date,ECPI,CCPI,GSCPI
Greece,1.0,1990-01-31,,,
Greece,0.0,1990-01-31,,,
Greece,0.0,1990-01-31,,,
Greece,0.3611111,1990-01-31,,,
Greece,0.0,1990-01-31,,,
Greece,0.0,1990-01-31,,,
Greece,0.25,1990-01-31,,,
Greece,0.0,1990-01-31,,,
Greece,0.0,1990-01-31,,,
Greece,0.33333334,1990-01-31,,,
Greece,1.0,1990-01-31,,,
Greece,2.0,1990-01-31,,,
Greece,0.0,1990-01-31,,,
Greece,0.0,1990-01-31,,,
Greece,0.0,1990-01-31,,,
Greece,0.0,1990-01-31,,,
Greece,0.5,1990-01-31,,,
Portugal,1.0,1990-01-31,,,
Portugal,5.0,1990-01-31,,,
Portugal,0.83333331,1990-01-31,,,
Portugal,0.0,1990-01-31,,,
Portugal,1.0,1990-01-31,,,
Portugal,0.0,1990-01-31,,,
Portugal,0.69444442,1990-01-31,,,
Portugal,0.0,1990-01-31,,,
Portugal,0.0,1990-01-31,,,
Portugal,1.0,1990-01-31,,,
Portugal,0.0,1990-01-31,,,
Portugal,0.25,1990-01-31,,,
Portugal,0.0,1990-01-31,,,
Portugal,0.0,1990-01-31,,,
Portugal,1.0,1990-01-31,,,
Portugal,0.0,1990-01-31,,,
Portugal,1.0,1990-01-31,,,
France,0.0,1990-01-31,,,
France,1.4444444,1990-01-31,,,
France,1.0,1990-01-31,,,
France,0.0,1990-01-31,,,
France,0.0,1990-01-31,,,
France,0.0,1990-01-31,,,
France,5.0,1990-01-31,,,
France,3.0,1990-01-31,,,
France,4.0,1990-01-31,,,
France,0.83333331,1990-01-31,,,
France,1.5,1990-01-31,,,
France,1.0,1990-01-31,,,
France,0.0,1990-01-31,,,
France,0.0,1990-01-31,,,
France,1.0,1990-01-31,,,
France,0.0,1990-01-31,,,
France,2.0,1990-01-31,,,
Belgium,0.8888889,1990-01-31,,,
Belgium,1.0,1990-01-31,,,
Belgium,0.0,1990-01-31,,,
Belgium,0.0,1990-01-31,,,
Belgium,1.0,1990-01-31,,,
Belgium,1.0,1990-01-31,,,
Belgium,1.5,1990-01-31,,,
Belgium,0.0,1990-01-31,,,
Belgium,0.66666669,1990-01-31,,,
Belgium,3.0,1990-01-31,,,
Belgium,0.0,1990-01-31,,,
Belgium,4.0,1990-01-31,,,
Belgium,1.0,1990-01-31,,,
Belgium,0.0,1990-01-31,,,
Belgium,0.0,1990-01-31,,,
Belgium,0.0,1990-01-31,,,
Belgium,0.5,1990-01-31,,,
Switzerland,1.0,1990-01-31,,,
Switzerland,0.0,1990-01-31,,,
Switzerland,0.0,1990-01-31,,,
Switzerland,0.0,1990-01-31,,,
Switzerland,0.0,1990-01-31,,,
Switzerland,1.5,1990-01-31,,,
Switzerland,3.0,1990-01-31,,,
Switzerland,0.0,1990-01-31,,,
Switzerland,2.5,1990-01-31,,,
Switzerland,4.0,1990-01-31,,,
Switzerland,0.0,1990-01-31,,,
Switzerland,1.0,1990-01-31,,,
Switzerland,0.0,1990-01-31,,,
Switzerland,5.0,1990-01-31,,,
Switzerland,0.0,1990-01-31,,,
Switzerland,0.0,1990-01-31,,,
Switzerland,2.0,1990-01-31,,,
Czech Republic,0.0,1990-01-31,,,
Czech Republic,0.0,1990-01-31,,,
Czech Republic,1.0,1990-01-31,,,
Czech Republic,0.0,1990-01-31,,,
Czech Republic,0.0,1990-01-31,,,
Czech Republic,1.0,1990-01-31,,,
Czech Republic,0.0,1990-01-31,,,
Czech Republic,0.0,1990-01-31,,,
Czech Republic,0.6111111,1990-01-31,,,
Czech Republic,0.83333331,1990-01-31,,,
Czech Republic,1.0,1990-01-31,,,
Czech Republic,5.0,1990-01-31,,,
Czech Republic,1.0,1990-01-31,,,
Czech Republic,0.0,1990-01-31,,,
Czech Republic,1.0,1990-01-31,,,
Czech Republic,0.0,1990-01-31,,,
Czech Republic,0.0,1990-01-31,,,
Japan,0.0,1990-01-31,,,
Japan,1.5833334,1990-01-31,,,
Japan,3.0,1990-01-31,,,
Japan,0.0,1990-01-31,,,
Japan,0.0,1990-01-31,,,
Japan,1.0,1990-01-31,,,
Japan,0.0,1990-01-31,,,
Japan,3.0,1990-01-31,,,
Japan,1.25,1990-01-31,,,
Japan,6.0,1990-01-31,,,
Japan,0.5,1990-01-31,,,
Japan,0.0,1990-01-31,,,
Japan,1.0,1990-01-31,,,
Japan,0.0,1990-01-31,,,
Japan,0.0,1990-01-31,,,
Japan,0.0,1990-01-31,,,
Japan,3.0,1990-01-31,,,
Denmark,2.0,1990-01-31,,,
Denmark,0.25,1990-01-31,,,
Denmark,0.0,1990-01-31,,,
Denmark,0.0,1990-01-31,,,
Denmark,0.0,1990-01-31,,,
Denmark,0.0,1990-01-31,,,
Denmark,0.0,1990-01-31,,,
Denmark,0.0,1990-01-31,,,
Denmark,0.0,1990-01-31,,,
Denmark,0.0,1990-01-31,,,
Denmark,0.41666666,1990-01-31,,,
Denmark,0.0,1990-01-31,,,
Denmark,0.0,1990-01-31,,,
Denmark,0.0,1990-01-31,,,
Denmark,1.0,1990-01-31,,,
Denmark,0.0,1990-01-31,,,
Denmark,1.0,1990-01-31,,,
Italy,1.0,1990-01-31,,,
Italy,0.0,1990-01-31,,,
Italy,1.0,1990-01-31,,,
Italy,1.6111112,1990-01-31,,,
Italy,0.0,1990-01-31,,,
Italy,1.0,1990-01-31,,,
Italy,1.5,1990-01-31,,,
Italy,0.0,1990-01-31,,,
Italy,0.0,1990-01-31,,,
Italy,0.0,1990-01-31,,,
Italy,0.0,1990-01-31,,,
Italy,5.0,1990-01-31,,,
Italy,5.0,1990-01-31,,,
Italy,3.0,1990-01-31,,,
Italy,0.83333331,1990-01-31,,,
Italy,0.0,1990-01-31,,,
Italy,2.5,1990-01-31,,,
Spain,0.0,1990-01-31,,,
Spain,0.66666669,1990-01-31,,,
Spain,1.0,1990-01-31,,,
Spain,0.0,1990-01-31,,,
Spain,1.0,1990-01-31,,,
Spain,1.0,1990-01-31,,,
Spain,4.0,1990-01-31,,,
Spain,1.0,1990-01-31,,,
Spain,0.0,1990-01-31,,,
Spain,0.0,1990-01-31,,,
Spain,0.0,1990-01-31,,,
Spain,1.0,1990-01-31,,,
Spain,0.0,1990-01-31,,,
Spain,0.72222221,1990-01-31,,,
Spain,1.0,1990-01-31,,,
Spain,0.0,1990-01-31,,,
Spain,0.5,1990-01-31,,,
Sweden,0.0,1990-01-31,,,
Sweden,0.0,1990-01-31,,,
Sweden,0.0,1990-01-31,,,
Sweden,0.69444442,1990-01-31,,,
Sweden,0.0,1990-01-31,,,
Sweden,0.0,1990-01-31,,,
Sweden,1.0,1990-01-31,,,
Sweden,0.0,1990-01-31,,,
Sweden,0.0,1990-01-31,,,
Sweden,0.25,1990-01-31,,,
Sweden,0.0,1990-01-31,,,
Sweden,0.0,1990-01-31,,,
Sweden,2.0,1990-01-31,,,
Sweden,3.0,1990-01-31,,,
Sweden,0.33333334,1990-01-31,,,
Sweden,0.0,1990-01-31,,,
Sweden,1.5,1990-01-31,,,
United Kingdom,1.1111112,1990-01-31,,,
United Kingdom,1.0,1990-01-31,,,
United Kingdom,0.0,1990-01-31,,,
United Kingdom,1.0,1990-01-31,,,
United Kingdom,0.0,1990-01-31,,,
United Kingdom,0.0,1990-01-31,,,
United Kingdom,1.5,1990-01-31,,,
United Kingdom,0.0,1990-01-31,,,
United Kingdom,3.0,1990-01-31,,,
United Kingdom,5.0,1990-01-31,,,
United Kingdom,2.0,1990-01-31,,,
United Kingdom,0.83333331,1990-01-31,,,
United Kingdom,0.0,1990-01-31,,,
United Kingdom,1.0,1990-01-31,,,
United Kingdom,0.0,1990-01-31,,,
United Kingdom,0.0,1990-01-31,,,
United Kingdom,1.0,1990-01-31,,,
Poland,1.0,1990-01-31,,,
Poland,1.0,1990-01-31,,,
Poland,0.0,1990-01-31,,,
Poland,0.58333331,1990-01-31,,,
Poland,1.0,1990-01-31,,,
Poland,0.0,1990-01-31,,,
Poland,0.5,1990-01-31,,,
Poland,3.0,1990-01-31,,,
Poland,0.0,1990-01-31,,,
Poland,1.25,1990-01-31,,,
Poland,0.0,1990-01-31,,,
Poland,2.0,1990-01-31,,,
Poland,0.0,1990-01-31,,,
Poland,0.0,1990-01-31,,,
Poland,0.0,1990-01-31,,,
Poland,0.0,1990-01-31,,,
Poland,0.0,1990-01-31,,,
United States,1.0,1990-01-31,,,
United States,0.0,1990-01-31,,,
United States,3.0,1990-01-31,,,
United States,0.0,1990-01-31,,,
United States,0.0,1990-01-31,,,
United States,1.0,1990-01-31,,,
United States,1.0,1990-01-31,,,
United States,1.0,1990-01-31,,,
United States,0.0,1990-01-31,,,
United States,0.0,1990-01-31,,,
United States,0.0,1990-01-31,,,
United States,1.0,1990-01-31,,,
United States,0.0,1990-01-31,,,
United States,0.0,1990-01-31,,,
United States,0.83333331,1990-01-31,,,
United States,0.0,1990-01-31,,,
United States,1.5,1990-01-31,,,
Netherlands,0.0,1990-01-31,,,
Netherlands,0.0,1990-01-31,,,
Netherlands,1.0,1990-01-31,,,
Netherlands,0.0,1990-01-31,,,
Netherlands,1.0,1990-01-31,,,
Netherlands,1.5555556,1990-01-31,,,
Netherlands,0.0,1990-01-31,,,
Netherlands,3.0,1990-01-31,,,
Netherlands,0.0,1990-01-31,,,
Netherlands,0.66666669,1990-01-31,,,
Netherlands,3.0,1990-01-31,,,
