,Open,High,Low,Close,Volume,Region,Change In Price (%),Month,Day of Week
2010-01-04,2294.409912109375,2311.14990234375,2294.409912109375,2308.419921875,1931380000,US & Canada,0.6106149425036628,Jan,Monday
2010-01-05,2307.27001953125,2313.72998046875,2295.6201171875,2308.7099609375,2367860000,US & Canada,0.06240888123456576,Jan,Tuesday
2010-01-06,2307.7099609375,2314.070068359375,2295.679931640625,2301.090087890625,2253340000,US & Canada,-0.2868589709681583,Jan,Wednesday
2010-01-07,2298.090087890625,2301.300048828125,2285.219970703125,2300.050048828125,2270050000,US & Canada,0.08528651456388346,Jan,Thursday
2010-01-08,2292.239990234375,2317.60009765625,2290.610107421875,2317.169921875,2145390000,US & Canada,1.087579474524218,Jan,Friday
2010-01-11,2324.780029296875,2326.280029296875,2302.2099609375,2312.409912109375,2077890000,US & Canada,-0.5320983934656957,Jan,Monday
2010-01-12,2297.280029296875,2298.85009765625,2272.699951171875,2282.31005859375,2368320000,US & Canada,-0.6516389169894466,Jan,Tuesday
2010-01-13,2289.4599609375,2313.030029296875,2274.1201171875,2307.89990234375,2318350000,US & Canada,0.8054275558808688,Jan,Wednesday
2010-01-14,2303.31005859375,2322.56005859375,2303.2900390625,2316.739990234375,2254170000,US & Canada,0.5830709413401527,Jan,Thursday
2010-01-15,2316.97998046875,2322.5400390625,2279.199951171875,2287.989990234375,2637770000,US & Canada,-1.251197268804628,Jan,Friday
2010-01-19,2291.02001953125,2320.39990234375,2290.679931640625,2320.39990234375,2045290000,US & Canada,1.2823931070890955,Jan,Tuesday
2010-01-20,2304.31005859375,2304.469970703125,2268.679931640625,2291.25,2351890000,US & Canada,-0.5667665488436984,Jan,Wednesday
2010-01-21,2298.22998046875,2308.97998046875,2259.820068359375,2265.699951171875,2877800000,US & Canada,-1.415438384031529,Jan,Thursday
2010-01-22,2255.760009765625,2262.27001953125,2200.3701171875,2205.2900390625,2817620000,US & Canada,-2.237382101138005,Jan,Friday
2010-01-25,2220.2900390625,2223.219970703125,2201.169921875,2210.800048828125,2134350000,US & Canada,-0.427421195763328,Jan,Monday
2010-01-26,2203.43994140625,2227.889892578125,2195.43994140625,2203.72998046875,2361260000,US & Canada,0.01316301193645855,Jan,Tuesday
2010-01-27,2200.300048828125,2225.669921875,2192.590087890625,2221.409912109375,2492880000,US & Canada,0.9594083903462651,Jan,Wednesday
2010-01-28,2220.31005859375,2220.8701171875,2166.89990234375,2179.0,2829640000,US & Canada,-1.8605535940288465,Jan,Thursday
2010-01-29,2198.260009765625,2202.840087890625,2140.340087890625,2147.35009765625,3090580000,US & Canada,-2.3159185848448804,Jan,Friday
2010-02-01,2155.81005859375,2171.199951171875,2152.260009765625,2171.199951171875,2234140000,US & Canada,0.7138798020157645,Feb,Monday
2010-02-02,2171.659912109375,2193.659912109375,2161.469970703125,2190.06005859375,2468470000,US & Canada,0.8472848986056285,Feb,Tuesday
2010-02-03,2181.010009765625,2194.530029296875,2176.75,2190.909912109375,2303350000,US & Canada,0.45391365924147503,Feb,Wednesday
2010-02-04,2176.389892578125,2178.25,2125.429931640625,2125.429931640625,2801390000,US & Canada,-2.341490424637722,Feb,Thursday
2010-02-05,2131.919921875,2142.27001953125,2100.169921875,2141.1201171875,2811100000,US & Canada,0.43154506968575673,Feb,Friday
2010-02-08,2140.10009765625,2152.639892578125,2125.110107421875,2126.050048828125,2036280000,US & Canada,-0.6565136295966735,Feb,Monday
2010-02-09,2153.10009765625,2166.159912109375,2132.580078125,2150.8701171875,2296420000,US & Canada,-0.103570682625366,Feb,Tuesday
2010-02-10,2147.4599609375,2156.360107421875,2131.080078125,2147.8701171875,2059940000,US & Canada,0.019099599408640023,Feb,Wednesday
2010-02-11,2145.090087890625,2179.5400390625,2134.139892578125,2177.409912109375,2141260000,US & Canada,1.506688432397341,Feb,Thursday
2010-02-12,2157.68994140625,2184.570068359375,2151.989990234375,2183.530029296875,2236180000,US & Canada,1.197581144294718,Feb,Friday
2010-02-16,2200.3798828125,2214.18994140625,2189.179931640625,2214.18994140625,2072850000,US & Canada,0.6276215621503567,Feb,Tuesday
2010-02-17,2222.8701171875,2226.320068359375,2212.780029296875,2226.2900390625,2103530000,US & Canada,0.15385162851201928,Feb,Wednesday
2010-02-18,2223.219970703125,2243.5,2221.139892578125,2241.7099609375,2076820000,US & Canada,0.8316761489204901,Feb,Thursday
2010-02-19,2233.330078125,2249.800048828125,2228.929931640625,2243.8701171875,2166660000,US & Canada,0.47194273545757853,Feb,Friday
2010-02-22,2250.919921875,2251.679931640625,2235.64990234375,2242.030029296875,1976290000,US & Canada,-0.3949448619531424,Feb,Monday
2010-02-23,2238.010009765625,2239.800048828125,2205.699951171875,2213.43994140625,2310910000,US & Canada,-1.0978533720654848,Feb,Tuesday
2010-02-24,2222.39990234375,2241.68994140625,2221.280029296875,2235.89990234375,2155810000,US & Canada,0.6074514305801965,Feb,Wednesday
2010-02-25,2208.6201171875,2236.2099609375,2198.72998046875,2234.219970703125,2300530000,US & Canada,1.159088125495495,Feb,Thursday
2010-02-26,2234.43994140625,2242.830078125,2222.22998046875,2238.260009765625,2283430000,US & Canada,0.17096312541615377,Feb,Friday
2010-03-01,2247.39990234375,2274.02001953125,2247.330078125,2273.570068359375,2504940000,US & Canada,1.1644641431341558,Mar,Monday
2010-03-02,2279.070068359375,2292.489990234375,2275.35009765625,2280.7900390625,2831870000,US & Canada,0.07546809231552712,Mar,Tuesday
2010-03-03,2284.820068359375,2293.320068359375,2275.25,2280.679931640625,2603510000,US & Canada,-0.18120187125819687,Mar,Wednesday
2010-03-04,2282.570068359375,2293.159912109375,2273.6298828125,2292.31005859375,2186020000,US & Canada,0.4267115550750973,Mar,Thursday
2010-03-05,2304.010009765625,2327.030029296875,2301.10009765625,2326.35009765625,2411880000,US & Canada,0.9696176577330731,Mar,Friday
