Country,CCPI
Albania,90.2
Austria,89.0
Belgium,91.3
Bulgaria,96.2
Belarus,96.1
Brazil,5522618.8
Canada,91.5
Switzerland,101.3
Chile,87.4
China,84.4
Colombia,85.0
Costa Rica,80.2
Cyprus,94.8
Czech Republic,96.4
Germany,93.1
Denmark,91.7
Dominican Republic,72.3
"Egypt, Arab Rep.",38.7
Spain,94.5
Estonia,90.8
Finland,92.1
France,94.4
United Kingdom,89.6
Greece,99.6
Guatemala,97.7
"Hong Kong SAR, China",75.2
Honduras,214.2
Croatia,92.6
Hungary,86.5
Indonesia,72.0
Ireland,94.1
Iraq,89.5
Iceland,83.7
Israel,92.2
Italy,93.1
Jordan,75.9
Japan,99.0
"Korea, Rep.",90.2
Sri Lanka,66.1
Lithuania,94.1
Luxembourg,89.2
Latvia,96.8
Mexico,85.7
Nepal,69.3
"Moldova, Rep.",97.2
North Macedonia,93.6
Malta,88.4
Mauritius,81.0
Malaysia,99.6
Nigeria,103.1
Netherlands,89.8
Norway,90.3
Peru,70.0
Philippines,80.0
Poland,93.0
Portugal,93.5
Paraguay,69.5
Romania,86.0
Russian Federation,64.9
Singapore,86.0
El Salvador,100.2
Serbia,72.8
Slovakia,92.8
Slovenia,95.0
Sweden,95.1
Thailand,94.1
Trinidad and Tobago,89.9
Turkey,68.2
"Taiwan, China",93.5
Uganda,59.0
Uganda,59.0
Ukraine,96.8
United States,90.9
South Africa,77.4
Albania,90.4
Austria,89.4
Belgium,91.7
Bulgaria,96.1
Belarus,97.3
Brazil,5544622.1
Canada,92.1
Switzerland,101.5
Chile,87.5
China,84.5
Colombia,85.5
Costa Rica,80.4
Cyprus,94.7
Czech Republic,96.4
Germany,93.7
Denmark,92.9
Dominican Republic,72.5
"Egypt, Arab Rep.",38.9
Spain,94.4
Estonia,90.9
Finland,92.4
France,95.1
United Kingdom,89.9
Greece,98.1
Guatemala,97.9
"Hong Kong SAR, China",75.6
Honduras,214.7
Croatia,92.8
Hungary,86.8
Indonesia,72.1
Ireland,94.7
Iraq,85.8
Iceland,84.7
Israel,92.0
Italy,93.2
Jordan,76.3
Japan,98.9
"Korea, Rep.",90.4
Sri Lanka,67.0
Lithuania,93.6
Luxembourg,90.6
Latvia,96.3
Mexico,86.1
Nepal,70.3
"Moldova, Rep.",99.4
North Macedonia,93.6
Malta,88.6
Mauritius,81.1
Malaysia,99.6
Nigeria,105.3
Netherlands,90.4
Norway,90.9
Peru,70.1
Philippines,80.1
Poland,93.0
Portugal,93.5
Paraguay,69.7
Romania,86.2
Russian Federation,65.2
Singapore,86.3
El Salvador,100.2
Serbia,73.0
Slovakia,92.8
Slovenia,95.3
Sweden,95.4
Thailand,94.1
Trinidad and Tobago,89.9
Turkey,68.2
"Taiwan, China",93.6
Uganda,59.7
Uganda,59.6
Ukraine,97.5
United States,91.1
South Africa,78.0
Albania,90.5
Austria,90.2
Belgium,91.6
Bulgaria,96.2
Belarus,98.5
Brazil,5570363.6
Canada,91.9
Switzerland,101.4
Chile,87.4
China,84.5
Colombia,85.6
Costa Rica,80.6
Cyprus,95.6
Czech Republic,96.3
Germany,93.9
Denmark,93.3
Dominican Republic,72.7
"Egypt, Arab Rep.",39.0
Spain,95.0
Estonia,91.4
Finland,92.7
France,95.4
United Kingdom,90.2
Greece,101.4
Guatemala,98.3
"Hong Kong SAR, China",75.2
Honduras,215.2
Croatia,93.1
Hungary,87.2
Indonesia,72.3
Ireland,94.6
Iraq,85.2
Iceland,85.1
Israel,92.2
Italy,93.4
Jordan,76.4
Japan,99.1
"Korea, Rep.",90.4
Sri Lanka,66.8
Lithuania,93.8
Luxembourg,90.8
Latvia,96.5
Mexico,86.5
Nepal,70.3
"Moldova, Rep.",100.1
North Macedonia,93.5
Malta,90.1
Mauritius,81.3
Malaysia,99.7
Nigeria,104.8
Netherlands,91.6
Norway,91.0
Peru,70.2
Philippines,80.4
Poland,93.2
Portugal,94.7
Paraguay,70.0
Romania,86.1
Russian Federation,65.4
Singapore,86.6
El Salvador,100.3
Serbia,73.3
Slovakia,92.7
Slovenia,96.5
Sweden,95.9
Thailand,94.2
Trinidad and Tobago,90.2
Turkey,68.6
"Taiwan, China",93.6
Uganda,60.0
Uganda,59.9
Ukraine,98.1
United States,91.3
South Africa,78.8
Albania,90.5
Austria,90.2
Belgium,91.7
Bulgaria,97.5
Belarus,99.3
Brazil,5589009.3
Canada,92.2
Switzerland,102.3
Chile,87.6
China,84.7
Colombia,85.7
Costa Rica,80.6
Cyprus,96.5
Czech Republic,96.5
Germany,93.7
Denmark,93.3
Dominican Republic,72.9
"Egypt, Arab Rep.",39.3
Spain,96.1
Estonia,91.4
Finland,92.9
France,95.4
United Kingdom,90.6
Greece,102.4
Guatemala,98.5
"Hong Kong SAR, China",75.4
Honduras,215.6
Croatia,93.4
Hungary,87.5
Indonesia,72.6
Ireland,94.7
Iraq,85.2
Iceland,85.2
Israel,92.8
Italy,93.7
Jordan,76.3
Japan,98.8
"Korea, Rep.",90.5
Sri Lanka,66.5
Lithuania,93.7
Luxembourg,90.8
Latvia,96.5
Mexico,86.6
Nepal,70.1
"Moldova, Rep.",100.4
North Macedonia,93.4
Malta,92.6
Mauritius,81.4
Malaysia,99.8
Nigeria,105.3
Netherlands,91.9
Norway,91.3
Peru,70.3
Philippines,80.8
Poland,93.4
Portugal,94.9
Paraguay,70.3
Romania,86.4
Russian Federation,65.6
Singapore,86.8
El Salvador,100.3
Serbia,73.5
Slovakia,92.8
Slovenia,97.4
Sweden,96.0
Thailand,94.4
Trinidad and Tobago,91.0
Turkey,69.3
"Taiwan, China",93.7
Uganda,60.0
Uganda,59.9
Ukraine,98.4
United States,91.3
South Africa,78.8
Albania,90.4
Austria,90.4
Belgium,92.0
Bulgaria,97.4
Belarus,99.6
Brazil,5615475.5
Canada,92.3
Switzerland,102.2
Chile,87.7
China,84.8
Colombia,85.8
Costa Rica,80.9
Cyprus,96.8
Czech Republic,96.7
Germany,93.7
Denmark,93.3
Dominican Republic,73.3
"Egypt, Arab Rep.",39.5
Spain,96.4
Estonia,91.4
Finland,93.0
France,95.5
United Kingdom,90.8
Greece,103.1
Guatemala,98.6
"Hong Kong SAR, China",75.4
Honduras,216.1
Croatia,93.9
Hungary,87.6
Indonesia,72.8
Ireland,95.1
Iraq,84.6
Iceland,85.8
Israel,93.2
Italy,93.7
Jordan,76.6
Japan,98.7
"Korea, Rep.",90.6
Sri Lanka,66.4
Lithuania,93.6
Luxembourg,90.8
Latvia,96.3
Mexico,86.6
Nepal,72.1
"Moldova, Rep.",100.5
North Macedonia,93.5
Malta,93.9
Mauritius,81.6
Malaysia,99.8
Nigeria,106.3
Netherlands,91.9
Norway,91.4
Peru,70.4
Philippines,80.8
Poland,93.5
Portugal,95.0
Paraguay,70.7
Romania,86.4
Russian Federation,65.8
Singapore,87.0
El Salvador,100.2
Serbia,73.8
Slovakia,92.7
Slovenia,97.5
Sweden,96.4
Thailand,94.4
Trinidad and Tobago,91.2
Turkey,70.3
"Taiwan, China",93.6
Uganda,60.1
Uganda,60.0
Ukraine,98.9
United States,91.3
South Africa,78.8
Albania,90.4
Austria,90.5
Belgium,92.0
Bulgaria,97.4
Belarus,99.8
Brazil,5638431.3
Canada,92.4
Switzerland,101.8
Chile,87.9
China,84.8
Colombia,85.9
Costa Rica,81.0
Cyprus,97.2
Czech Republic,96.6
Germany,93.7
Denmark,93.2
Dominican Republic,73.5
"Egypt, Arab Rep.",39.8
Spain,96.4
Estonia,92.1
Finland,93.2
France,95.5
United Kingdom,91.0
Greece,103.2
Guatemala,98.7
"Hong Kong SAR, China",75.8
Honduras,216.7
Croatia,94.2
