Country,ECPI
Aruba,101.0
United Arab Emirates,102.1
Armenia,90.0
Austria,91.9
Azerbaijan,100.0
Burundi,58.8
Belgium,88.8
Benin,95.4
Bulgaria,12552.9
Bahrain,88.7
Bosnia and Herzegovina,95.3
Belarus,12.3
Bolivia,72.1
Bolivia,103.1
Brazil,73.2
Brazil,66.3
Brunei Darussalam,98.6
Botswana,56.4
Canada,89.6
Switzerland,102.6
Chile,83.0
China,89.4
Côte d'Ivoire,89.9
"Congo, Rep.",81.5
Colombia,79.6
Cabo Verde,93.7
Costa Rica,93.2
Cyprus,82.1
Czech Republic,90.4
Germany,91.1
Denmark,92.4
Dominican Republic,77.4
Algeria,130.0
Ecuador,90.5
Ecuador,91.0
"Egypt, Arab Rep.",56.0
Spain,83.1
Estonia,84.8
Ethiopia,42.8
Finland,86.7
Fiji,78.7
France,85.0
Gabon,85.8
United Kingdom,88.1
Georgia,99.1
Ghana,15.4
Guinea,29.2
"Gambia, The",56.9
Equatorial Guinea,105.7
Greece,68.3
Grenada,100.0
"Hong Kong SAR, China",68.4
Honduras,244.0
Croatia,85.5
Haiti,50.4
Hungary,99.3
Indonesia,3.7
India,16.2
Ireland,87.0
"Iran, Islamic Rep.",41.3
Iceland,81.5
Israel,97.0
Italy,84.4
Jamaica,68.6
Jordan,75.6
Jordan,88.0
Japan,84.5
Kenya,58.7
Kyrgyz Republic,66.8
Cambodia,118.8
Kiribati,100.0
St. Kitts and Nevis,100.0
"Korea, Rep.",100.0
Kuwait,85.7
"Lao, PDR",71.9
Lebanon,80.3
Liberia,63.3
St. Lucia,81.9
Lesotho,72.1
Lithuania,94.8
Luxembourg,93.1
Latvia,80.8
"Macao SAR, China",66.0
Morocco,89.9
Madagascar,57.6
Maldives,81.9
Mexico,74.6
North Macedonia,89.0
Mali,84.9
Malta,95.0
Mongolia,42.1
Mozambique,70.0
Mozambique,61.3
Mauritania,83.2
Mauritius,82.3
Malaysia,99.4
Malaysia,98.9
Namibia,84.0
Namibia,71.8
Nigeria,100.6
Nicaragua,127.6
Netherlands,89.8
Norway,103.1
Oman,93.6
Pakistan,65.9
Panama,91.0
Philippines,79.4
Poland,88.5
Portugal,82.4
Puerto Rico,106.3
Paraguay,68.0
Paraguay,98.5
West Bank and Gaza,90.7
Qatar,95.0
Russian Federation,98.4
Rwanda,91.2
Saudi Arabia,4.1
Sudan,140.6
Senegal,90.9
Singapore,92.0
Sierra Leone,42.4
El Salvador,99.9
Serbia,69.7
South Sudan,86.1
Suriname,44.2
Slovakia,91.6
Slovenia,85.8
Sweden,103.6
Eswatini,54.1
Seychelles,91.1
Chad,106.3
Togo,86.9
Thailand,96.5
Trinidad and Tobago,95.2
Tunisia,80.6
