Country,EPSI,Date
Greece,1.0,1990-01-31
Greece,1.0,1991-01-31
Greece,1.0,1992-01-31
Greece,1.0,1993-01-31
Greece,1.0,1994-01-31
Greece,1.0,1995-01-31
Greece,1.0,1996-01-31
Greece,1.0,1997-01-31
Greece,1.0,1998-01-31
Greece,1.0,1999-01-31
Greece,5.0,2000-01-31
Greece,5.0,2001-01-31
Greece,5.0,2002-01-31
Greece,5.0,2003-01-31
Greece,5.0,2004-01-31
Greece,5.0,2005-01-31
Greece,5.0,2006-01-31
Greece,5.0,2007-01-31
Greece,5.0,2008-01-31
Greece,6.0,2009-01-31
Greece,6.0,2010-01-31
Greece,6.0,2011-01-31
Greece,6.0,2012-01-31
Greece,6.0,2013-01-31
Greece,6.0,2014-01-31
Greece,6.0,2015-01-31
Greece,6.0,2016-01-31
Greece,6.0,2017-01-31
Greece,6.0,2018-01-31
Greece,6.0,2019-01-31
Greece,6.0,2020-01-31
Portugal,1.0,1990-01-31
Portugal,1.0,1991-01-31
Portugal,1.0,1992-01-31
Portugal,1.0,1993-01-31
Portugal,1.0,1994-01-31
Portugal,1.0,1995-01-31
Portugal,1.0,1996-01-31
Portugal,1.0,1997-01-31
Portugal,1.0,1998-01-31
Portugal,1.0,1999-01-31
Portugal,1.0,2000-01-31
Portugal,1.0,2001-01-31
Portugal,1.0,2002-01-31
Portugal,1.0,2003-01-31
Portugal,1.0,2004-01-31
Portugal,1.0,2005-01-31
Portugal,1.0,2006-01-31
Portugal,1.0,2007-01-31
Portugal,1.0,2008-01-31
Portugal,1.0,2009-01-31
Portugal,1.0,2010-01-31
Portugal,1.0,2011-01-31
Portugal,1.0,2012-01-31
Portugal,1.0,2013-01-31
Portugal,1.0,2014-01-31
Portugal,1.0,2015-01-31
Portugal,1.0,2016-01-31
Portugal,1.0,2017-01-31
Portugal,1.0,2018-01-31
Portugal,2.0,2019-01-31
Portugal,2.0,2020-01-31
France,0.0,1990-01-31
France,0.0,1991-01-31
France,0.0,1992-01-31
France,0.0,1993-01-31
France,0.0,1994-01-31
France,0.0,1995-01-31
France,0.0,1996-01-31
France,0.0,1997-01-31
France,0.0,1998-01-31
France,0.0,1999-01-31
France,0.0,2000-01-31
France,1.0,2001-01-31
France,1.0,2002-01-31
France,1.0,2003-01-31
France,1.0,2004-01-31
France,1.0,2005-01-31
France,2.0,2006-01-31
France,3.0,2007-01-31
France,3.0,2008-01-31
France,4.0,2009-01-31
France,5.0,2010-01-31
France,5.0,2011-01-31
France,6.0,2012-01-31
France,6.0,2013-01-31
France,6.0,2014-01-31
France,3.0,2015-01-31
France,2.0,2016-01-31
France,3.0,2017-01-31
France,4.0,2018-01-31
France,4.0,2019-01-31
France,4.0,2020-01-31
Belgium,0.8888889,1990-01-31
Belgium,0.8888889,1991-01-31
Belgium,0.94444442,1992-01-31
Belgium,0.94444442,1993-01-31
Belgium,1.1111112,1994-01-31
Belgium,1.1111112,1995-01-31
Belgium,1.1111112,1996-01-31
Belgium,1.1111112,1997-01-31
Belgium,1.2777778,1998-01-31
Belgium,1.1111112,1999-01-31
Belgium,1.5555556,2000-01-31
Belgium,1.5555556,2001-01-31
Belgium,1.6111112,2002-01-31
Belgium,1.5555556,2003-01-31
Belgium,2.4722223,2004-01-31
Belgium,2.5833333,2005-01-31
Belgium,2.6388888,2006-01-31
Belgium,2.3055556,2007-01-31
Belgium,2.6388888,2008-01-31
Belgium,2.6666667,2009-01-31
Belgium,2.5555556,2010-01-31
Belgium,2.9444444,2011-01-31
Belgium,3.0555556,2012-01-31
Belgium,2.9444444,2013-01-31
Belgium,2.9444444,2014-01-31
Belgium,2.8333333,2015-01-31
Belgium,2.8888888,2016-01-31
Belgium,2.9444444,2017-01-31
Belgium,3.0,2018-01-31
Belgium,3.2222223,2019-01-31
Belgium,3.4444444,2020-01-31
Switzerland,1.0,1990-01-31
Switzerland,1.0,1991-01-31
Switzerland,1.0,1992-01-31
Switzerland,1.0,1993-01-31
Switzerland,4.0,1994-01-31
Switzerland,4.0,1995-01-31
Switzerland,4.0,1996-01-31
Switzerland,4.0,1997-01-31
Switzerland,4.0,1998-01-31
Switzerland,4.0,1999-01-31
Switzerland,5.0,2000-01-31
Switzerland,5.0,2001-01-31
Switzerland,5.0,2002-01-31
Switzerland,5.0,2003-01-31
Switzerland,5.0,2004-01-31
Switzerland,5.0,2005-01-31
Switzerland,5.0,2006-01-31
Switzerland,5.0,2007-01-31
Switzerland,5.0,2008-01-31
Switzerland,6.0,2009-01-31
Switzerland,6.0,2010-01-31
Switzerland,6.0,2011-01-31
Switzerland,6.0,2012-01-31
Switzerland,6.0,2013-01-31
Switzerland,6.0,2014-01-31
Switzerland,6.0,2015-01-31
Switzerland,6.0,2016-01-31
Switzerland,6.0,2017-01-31
Switzerland,6.0,2018-01-31
Switzerland,6.0,2019-01-31
Switzerland,6.0,2020-01-31
Czech Republic,0.0,1990-01-31
Czech Republic,1.0,1991-01-31
Czech Republic,1.0,1992-01-31
Czech Republic,1.0,1993-01-31
Czech Republic,1.0,1994-01-31
Czech Republic,1.0,1995-01-31
Czech Republic,1.0,1996-01-31
Czech Republic,1.0,1997-01-31
Czech Republic,1.0,1998-01-31
Czech Republic,1.0,1999-01-31
Czech Republic,1.0,2000-01-31
Czech Republic,1.0,2001-01-31
Czech Republic,1.0,2002-01-31
Czech Republic,1.0,2003-01-31
Czech Republic,1.0,2004-01-31
Czech Republic,1.0,2005-01-31
Czech Republic,1.0,2006-01-31
Czech Republic,1.0,2007-01-31
Czech Republic,1.0,2008-01-31
Czech Republic,1.0,2009-01-31
Czech Republic,1.0,2010-01-31
Czech Republic,1.0,2011-01-31
Czech Republic,1.0,2012-01-31
Czech Republic,1.0,2013-01-31
Czech Republic,1.0,2014-01-31
Czech Republic,1.0,2015-01-31
Czech Republic,1.0,2016-01-31
Czech Republic,1.0,2017-01-31
Czech Republic,2.0,2018-01-31
Czech Republic,2.0,2019-01-31
Czech Republic,2.0,2020-01-31
Japan,0.0,1990-01-31
Japan,0.0,1991-01-31
Japan,0.0,1992-01-31
Japan,0.0,1993-01-31
Japan,0.0,1994-01-31
Japan,0.0,1995-01-31
Japan,0.0,1996-01-31
Japan,0.0,1997-01-31
Japan,0.0,1998-01-31
Japan,0.0,1999-01-31
Japan,0.0,2000-01-31
Japan,0.0,2001-01-31
Japan,0.0,2002-01-31
Japan,0.0,2003-01-31
Japan,6.0,2004-01-31
Japan,6.0,2005-01-31
Japan,6.0,2006-01-31
Japan,6.0,2007-01-31
Japan,6.0,2008-01-31
Japan,6.0,2009-01-31
Japan,6.0,2010-01-31
Japan,6.0,2011-01-31
Japan,6.0,2012-01-31
Japan,6.0,2013-01-31
Japan,6.0,2014-01-31
Japan,6.0,2015-01-31
Japan,6.0,2016-01-31
Japan,6.0,2017-01-31
Japan,6.0,2018-01-31
Japan,6.0,2019-01-31
Japan,6.0,2020-01-31
Denmark,2.0,1990-01-31
Denmark,2.0,1991-01-31
Denmark,3.0,1992-01-31
Denmark,2.0,1993-01-31
Denmark,2.0,1994-01-31
Denmark,2.0,1995-01-31
Denmark,2.0,1996-01-31
Denmark,2.0,1997-01-31
Denmark,2.0,1998-01-31
Denmark,2.0,1999-01-31
Denmark,2.0,2000-01-31
Denmark,2.0,2001-01-31
Denmark,1.0,2002-01-31
Denmark,1.0,2003-01-31
Denmark,2.0,2004-01-31
Denmark,3.0,2005-01-31
Denmark,3.0,2006-01-31
Denmark,4.0,2007-01-31
Denmark,3.0,2008-01-31
Denmark,4.0,2009-01-31
Denmark,6.0,2010-01-31
Denmark,6.0,2011-01-31
Denmark,5.0,2012-01-31
Denmark,5.0,2013-01-31
Denmark,5.0,2014-01-31
Denmark,4.0,2015-01-31
Denmark,3.0,2016-01-31
Denmark,3.0,2017-01-31
Denmark,3.0,2018-01-31
Denmark,3.0,2019-01-31
Denmark,3.0,2020-01-31
Italy,1.0,1990-01-31
Italy,1.0,1991-01-31
Italy,1.0,1992-01-31
Italy,1.0,1993-01-31
Italy,1.0,1994-01-31
Italy,1.0,1995-01-31
Italy,1.0,1996-01-31
Italy,1.0,1997-01-31
Italy,1.0,1998-01-31
Italy,1.0,1999-01-31
Italy,1.0,2000-01-31
Italy,1.0,2001-01-31
Italy,1.0,2002-01-31
Italy,1.0,2003-01-31
Italy,1.0,2004-01-31
Italy,1.0,2005-01-31
Italy,4.0,2006-01-31
Italy,4.0,2007-01-31
Italy,4.0,2008-01-31
Italy,4.0,2009-01-31
Italy,4.0,2010-01-31
Italy,4.0,2011-01-31
Italy,4.0,2012-01-31
Italy,6.0,2013-01-31
Italy,6.0,2014-01-31
Italy,6.0,2015-01-31
Italy,6.0,2016-01-31
Italy,6.0,2017-01-31
Italy,6.0,2018-01-31
Italy,6.0,2019-01-31
Italy,6.0,2020-01-31
Spain,0.0,1990-01-31
Spain,0.0,1991-01-31
Spain,0.0,1992-01-31
Spain,0.0,1993-01-31
Spain,1.0,1994-01-31
Spain,1.0,1995-01-31
Spain,1.0,1996-01-31
Spain,1.0,1997-01-31
Spain,1.0,1998-01-31
Spain,2.0,1999-01-31
Spain,2.0,2000-01-31
Spain,2.0,2001-01-31
Spain,2.0,2002-01-31
Spain,2.0,2003-01-31
Spain,2.0,2004-01-31
Spain,2.0,2005-01-31
Spain,2.0,2006-01-31
Spain,3.0,2007-01-31
Spain,2.0,2008-01-31
Spain,3.0,2009-01-31
Spain,3.0,2010-01-31
Spain,3.0,2011-01-31
Spain,4.0,2012-01-31
Spain,0.0,2013-01-31
Spain,0.0,2014-01-31
Spain,0.0,2015-01-31
Spain,0.0,2016-01-31
Spain,0.0,2017-01-31
Spain,0.0,2018-01-31
Spain,0.0,2019-01-31
Spain,0.0,2020-01-31
Portugal,5.0,1990-01-31
Portugal,5.0,1991-01-31
Portugal,6.0,1992-01-31
Portugal,5.0,1993-01-31
Portugal,5.0,1994-01-31
Portugal,6.0,1995-01-31
Portugal,5.0,1996-01-31
Portugal,5.0,1997-01-31
Portugal,6.0,1998-01-31
Portugal,5.0,1999-01-31
Portugal,4.0,2000-01-31
Portugal,4.0,2001-01-31
Portugal,5.0,2002-01-31
Portugal,5.0,2003-01-31
Portugal,5.0,2004-01-31
Portugal,4.0,2005-01-31
Portugal,4.0,2006-01-31
Portugal,4.0,2007-01-31
Portugal,4.0,2008-01-31
Portugal,4.0,2009-01-31
Portugal,4.0,2010-01-31
Portugal,3.0,2011-01-31
Portugal,3.0,2012-01-31
Portugal,3.0,2013-01-31
Portugal,4.0,2014-01-31
Portugal,4.0,2015-01-31
Portugal,5.0,2016-01-31
Portugal,5.0,2017-01-31
Portugal,4.0,2018-01-31
Portugal,4.0,2019-01-31
Portugal,5.0,2020-01-31
Sweden,0.0,1990-01-31
Sweden,0.0,1991-01-31
Sweden,0.0,1992-01-31
Sweden,0.0,1993-01-31
Sweden,0.0,1994-01-31
Sweden,0.0,1995-01-31
Sweden,0.0,1996-01-31
Sweden,0.0,1997-01-31
Sweden,0.0,1998-01-31
Sweden,0.0,1999-01-31
Sweden,1.0,2000-01-31
Sweden,1.0,2001-01-31
Sweden,4.0,2002-01-31
Sweden,4.0,2003-01-31
Sweden,4.0,2004-01-31
Sweden,4.0,2005-01-31
Sweden,4.0,2006-01-31
Sweden,4.0,2007-01-31
Sweden,4.0,2008-01-31
Sweden,4.0,2009-01-31
Sweden,4.0,2010-01-31
Sweden,4.0,2011-01-31
Sweden,4.0,2012-01-31
Sweden,6.0,2013-01-31
Sweden,6.0,2014-01-31
Sweden,6.0,2015-01-31
Sweden,6.0,2016-01-31
Sweden,6.0,2017-01-31
Sweden,6.0,2018-01-31
Sweden,6.0,2019-01-31
Sweden,6.0,2020-01-31
Sweden,0.0,1990-01-31
Sweden,0.0,1991-01-31
Sweden,0.0,1992-01-31
Sweden,0.0,1993-01-31
Sweden,0.0,1994-01-31
Sweden,0.0,1995-01-31
Sweden,0.0,1996-01-31
Sweden,0.0,1997-01-31
Sweden,0.0,1998-01-31
Sweden,0.0,1999-01-31
Sweden,0.0,2000-01-31
Sweden,0.0,2001-01-31
Sweden,0.0,2002-01-31
Sweden,0.0,2003-01-31
Sweden,0.0,2004-01-31
Sweden,0.0,2005-01-31
Sweden,0.0,2006-01-31
Sweden,0.0,2007-01-31
Sweden,0.0,2008-01-31
Sweden,0.0,2009-01-31
Sweden,0.0,2010-01-31
Sweden,0.0,2011-01-31
Sweden,0.0,2012-01-31
Sweden,0.0,2013-01-31
Sweden,0.0,2014-01-31
Sweden,0.0,2015-01-31
Sweden,0.0,2016-01-31
Sweden,0.0,2017-01-31
Sweden,0.0,2018-01-31
Sweden,0.0,2019-01-31
Sweden,0.0,2020-01-31
Spain,0.66666669,1990-01-31
Spain,0.83333331,1991-01-31
Spain,0.83333331,1992-01-31
Spain,0.83333331,1993-01-31
Spain,0.83333331,1994-01-31
Spain,0.83333331,1995-01-31
Spain,0.83333331,1996-01-31
Spain,0.83333331,1997-01-31
Spain,0.83333331,1998-01-31
Spain,0.83333331,1999-01-31
Spain,0.66666669,2000-01-31
Spain,0.66666669,2001-01-31
Spain,0.66666669,2002-01-31
Spain,0.66666669,2003-01-31
Spain,0.66666669,2004-01-31
Spain,0.83333331,2005-01-31
Spain,1.1666666,2006-01-31
Spain,0.66666669,2007-01-31
Spain,1.1666666,2008-01-31
Spain,1.0,2009-01-31
Spain,0.83333331,2010-01-31
Spain,1.0,2011-01-31
Spain,0.66666669,2012-01-31
Spain,0.66666669,2013-01-31
Spain,1.1666666,2014-01-31
Spain,1.1666666,2015-01-31
Spain,0.83333331,2016-01-31
Spain,0.83333331,2017-01-31
Spain,1.3333334,2018-01-31
Spain,1.3333334,2019-01-31
Spain,1.5,2020-01-31
United Kingdom,1.1111112,1990-01-31
