,Open,High,Low,Close,Volume,Region,Change In Price (%),Month,Day of Week
2010-01-04,13765.944647758799,13782.654420596356,13533.3876953125,13533.3876953125,67100,East Asia,-1.6893642855389586,Jan,Monday
2010-01-05,13539.67845954093,13597.20808875627,13324.41036232069,13517.228515625,108200,East Asia,-0.16580854547627924,Jan,Tuesday
2010-01-06,13509.238234064404,13677.247093173402,13456.139219834282,13505.0283203125,106400,East Asia,-0.03116322089344719,Jan,Wednesday
2010-01-07,13514.488080133837,13571.197405062327,13148.102540800162,13235.33203125,102800,East Asia,-2.0656057945264936,Jan,Thursday
2010-01-08,13180.752921343934,13270.481409628566,13040.193947074915,13267.2919921875,77300,East Asia,0.6565563542537179,Jan,Friday
2010-01-11,13559.128351050776,13606.078020318708,13089.733219733514,13160.9423828125,106000,East Asia,-2.9366634633812483,Jan,Monday
2010-01-12,13187.241436590972,13381.099609374998,12993.084439040445,13381.099609375,117000,East Asia,1.470043403058695,Jan,Tuesday
2010-01-13,13031.40412930413,13227.812089949983,12936.175701655615,13016.4140625,143800,East Asia,-0.115030327164986,Jan,Wednesday
2010-01-14,13037.654201956884,13222.07206427854,12965.645240518072,13204.04296875,104300,East Asia,1.2762170572689504,Jan,Thursday
2010-01-15,13247.502140230334,13320.251326107384,13118.10319768544,13264.2216796875,88500,East Asia,0.12620899608230307,Jan,Friday
2010-01-18,13233.962362242379,13372.960807886631,13175.782348780236,13361.3701171875,90200,East Asia,0.962733242378159,Jan,Monday
2010-01-19,13389.439994115079,13432.909234186003,13318.200557025375,13350.5205078125,81800,East Asia,-0.29067299543285263,Jan,Tuesday
2010-01-20,13375.380601743429,13389.779854677012,12871.436045615164,12916.005859375,107100,East Asia,-3.434479780773874,Jan,Wednesday
2010-01-21,12928.374872789582,12982.73461610883,12732.817490612104,12917.005859375,80200,East Asia,-0.08793845728058372,Jan,Thursday
2010-01-22,12756.776510606607,12756.776510606607,12393.930980329307,12595.798828125,95900,East Asia,-1.261899370485659,Jan,Friday
2010-01-25,12505.999597419763,12640.58891050606,12458.42005212412,12470.05078125,85900,East Asia,-0.2874525613864539,Jan,Monday
2010-01-26,12495.969883384132,12536.328804706329,12090.953928387775,12162.4228515625,90500,East Asia,-2.6692368414327645,Jan,Tuesday
2010-01-27,12157.002662729104,12232.982275337064,11946.355622247895,12046.64453125,77900,East Asia,-0.9077741820147827,Jan,Wednesday
2010-01-28,12008.8254677135,12166.333469322608,11903.856916749633,12120.3447265625,72000,East Asia,0.9286441804723331,Jan,Thursday
2010-01-29,12058.56533106732,12338.921570534065,11998.525963491335,12137.064453125,70600,East Asia,0.6509822678112186,Jan,Friday
2010-02-01,12125.374454452085,12126.124446082673,11841.827813957876,11988.9765625,72300,East Asia,-1.1248963276511739,Feb,Monday
2010-02-02,12035.79451707665,12173.773436226507,11912.795898437502,11912.7958984375,62800,East Asia,-1.0219401674283946,Feb,Tuesday
2010-02-03,11960.986759388168,12262.43359375,11714.029551874812,12262.43359375,87200,East Asia,2.520250548101531,Feb,Wednesday
2010-02-04,12177.013585706807,12283.381531321389,12112.793604073104,12169.34375,70100,East Asia,-0.06298618009106823,Feb,Thursday
2010-02-05,11892.17606000757,12018.25472268088,11822.937579517116,11917.005859375,72100,East Asia,0.20879105087360925,Feb,Friday
2010-02-08,11899.966349319522,11997.525803689054,11846.886865597458,11947.2060546875,45300,East Asia,0.3969734365734504,Feb,Monday
2010-02-09,11935.666402790099,12037.185775946473,11900.147268528399,11970.306640625,40800,East Asia,0.2902245812332996,Feb,Tuesday
2010-02-10,12082.864429942101,12185.243164062502,12051.02494343198,12185.2431640625,44300,East Asia,0.8473051627286146,Feb,Wednesday
2010-02-11,12178.81398710117,12297.272623193825,12152.213698662074,12224.462890625,49700,East Asia,0.37482224108339096,Feb,Thursday
2010-02-12,12259.33156532632,12327.790754736745,12241.472391597124,12304.6416015625,39600,East Asia,0.3695963029854972,Feb,Friday
2010-02-22,12298.97267493574,12337.63142187117,12213.4033203125,12213.4033203125,42400,East Asia,-0.6957439201212529,Feb,Monday
