,Open,High,Low,Close,Volume,Region,Change In Price (%),Month,Day of Week
2010-01-04,4877.7001953125,4901.10009765625,4876.2998046875,4889.7998046875,596439900,,0.24805971852529599,Jan,Monday
2010-01-05,4899.7998046875,4944.7998046875,4899.7998046875,4939.5,1036772400,,0.8102411709662086,Jan,Tuesday
2010-01-06,4943.7001953125,4954.60009765625,4935.60009765625,4946.7998046875,1069955900,,0.06269816640456831,Jan,Wednesday
2010-01-07,4948.2001953125,4963.60009765625,4929.7001953125,4930.5,1076603600,,-0.3577097654469931,Jan,Thursday
2010-01-08,4931.39990234375,4964.2001953125,4931.2998046875,4942.2001953125,832942400,,0.219010690323795,Jan,Friday
2010-01-11,4950.7001953125,4984.0,4950.5,4981.2001953125,893448000,,0.6160744702108703,Jan,Monday
2010-01-12,4970.7998046875,4972.0,4926.10009765625,4931.60009765625,942061000,,-0.7885995930531017,Jan,Tuesday
2010-01-13,4919.60009765625,4920.2998046875,4885.10009765625,4900.10009765625,1023661000,,-0.3963736810496042,Jan,Wednesday
2010-01-14,4906.7001953125,4949.89990234375,4906.0,4929.39990234375,839685600,,0.46262673747492516,Jan,Thursday
2010-01-15,4928.2998046875,4938.7001953125,4893.2001953125,4929.5,974586500,,0.024353131101286635,Jan,Friday
2010-01-18,4921.2998046875,4941.60009765625,4896.2998046875,4936.10009765625,943892600,,0.3007395110261894,Jan,Monday
2010-01-19,4939.2998046875,4953.2001953125,4889.60009765625,4889.60009765625,1072837800,,-1.006209564037476,Jan,Tuesday
2010-01-20,4901.7998046875,4932.7001953125,4893.39990234375,4895.10009765625,1005330500,,-0.13667851193847605,Jan,Wednesday
2010-01-21,4882.60009765625,4883.0,4845.10009765625,4849.60009765625,1366036700,,-0.6758694003189138,Jan,Thursday
2010-01-22,4819.60009765625,4819.60009765625,4740.7001953125,4771.89990234375,1415849000,,-0.989712721926792,Jan,Friday
2010-01-25,4749.89990234375,4750.5,4702.60009765625,4743.10009765625,997700500,,-0.143156799665289,Jan,Monday
2010-01-27,4732.89990234375,4734.2001953125,4655.39990234375,4670.0,1354866800,,-1.3289928720571869,Jan,Wednesday
2010-01-28,4677.0,4699.2001953125,4667.89990234375,4697.7001953125,1294518600,,0.4425955807675861,Jan,Thursday
2010-01-29,4683.0,4683.2998046875,4592.89990234375,4596.89990234375,1570721100,,-1.8385671077567798,Jan,Friday
2010-02-01,4596.2001953125,4609.10009765625,4544.7001953125,4544.7998046875,1351600000,,-1.1183235812361136,Feb,Monday
2010-02-02,4568.2001953125,4628.7998046875,4566.7001953125,4628.7998046875,1323440500,,1.3265532766532908,Feb,Tuesday
2010-02-03,4651.60009765625,4682.60009765625,4646.5,4673.2001953125,1334704700,,0.464358440166286,Feb,Wednesday
2010-02-04,4665.10009765625,4666.39990234375,4623.89990234375,4644.10009765625,1208389500,,-0.4501511127392619,Feb,Thursday
2010-02-05,4607.60009765625,4610.5,4508.2998046875,4532.5,1577595100,,-1.6299178762161064,Feb,Friday
