,Open,High,Low,Close,Volume,Region,Change In Price (%),Month,Day of Week
2010-01-04,2521.72998046875,2563.969970703125,2521.72998046875,2563.969970703125,19760000,Europe,1.6750401732751437,Jan,Monday
2010-01-05,2566.8701171875,2594.889892578125,2553.0,2587.77001953125,25737000,Europe,0.8142173693871922,Jan,Tuesday
2010-01-06,2590.1298828125,2601.169921875,2577.739990234375,2596.429931640625,18656800,Europe,0.24323293090167641,Jan,Wednesday
2010-01-07,2591.77001953125,2600.419921875,2579.6298828125,2590.679931640625,28732400,Europe,-0.04205959180059326,Jan,Thursday
2010-01-08,2597.7099609375,2606.14990234375,2580.68994140625,2591.639892578125,23923200,Europe,-0.23366998050792184,Jan,Friday
2010-01-11,2604.64990234375,2610.409912109375,2585.580078125,2585.860107421875,22381200,Europe,-0.7213942612773917,Jan,Monday
2010-01-12,2588.840087890625,2595.4599609375,2562.360107421875,2565.050048828125,21481800,Europe,-0.9189458697653285,Jan,Tuesday
2010-01-13,2560.360107421875,2586.8701171875,2557.909912109375,2575.110107421875,24736000,Europe,0.5760908380521653,Jan,Wednesday
2010-01-14,2582.5,2584.31005859375,2565.070068359375,2571.3701171875,24383600,Europe,-0.43097319699903197,Jan,Thursday
2010-01-15,2578.06005859375,2592.010009765625,2528.89990234375,2536.449951171875,27872000,Europe,-1.6140084589251966,Jan,Friday
2010-01-18,2542.93994140625,2554.72998046875,2538.8701171875,2552.7099609375,19677600,Europe,0.3842017411487572,Jan,Monday
2010-01-19,2545.659912109375,2556.919921875,2521.669921875,2547.360107421875,20427800,Europe,0.06678799883725202,Jan,Tuesday
2010-01-20,2541.320068359375,2551.919921875,2512.97998046875,2516.679931640625,32299400,Europe,-0.9695802203559969,Jan,Wednesday
2010-01-21,2522.7099609375,2546.239990234375,2483.949951171875,2484.260009765625,19701800,Europe,-1.5241526678550898,Jan,Thursday
2010-01-22,2471.260009765625,2491.239990234375,2463.659912109375,2475.81005859375,30284600,Europe,0.18411857959683198,Jan,Friday
2010-01-25,2454.800048828125,2505.969970703125,2454.070068359375,2475.139892578125,27536000,Europe,0.8285743582134054,Jan,Monday
2010-01-26,2463.97998046875,2497.27001953125,2459.169921875,2496.449951171875,25684400,Europe,1.3177854917858496,Jan,Tuesday
2010-01-27,2483.8701171875,2513.14990234375,2467.0400390625,2493.669921875,27235200,Europe,0.39453772641688584,Jan,Wednesday
2010-01-28,2523.800048828125,2537.010009765625,2486.510009765625,2486.510009765625,24051800,Europe,-1.47753539666563,Jan,Thursday
2010-01-29,2497.080078125,2516.090087890625,2477.760009765625,2505.199951171875,25686400,Europe,0.32517471578132273,Jan,Friday
2010-02-01,2496.8798828125,2540.739990234375,2493.669921875,2537.7099609375,23088200,Europe,1.6352439861467731,Feb,Monday
2010-02-02,2536.550048828125,2548.219970703125,2519.989990234375,2547.110107421875,20690200,Europe,0.41631579864267615,Feb,Tuesday
2010-02-03,2547.18994140625,2560.610107421875,2524.75,2529.659912109375,22238600,Europe,-0.6882105261140062,Feb,Wednesday
2010-02-04,2528.699951171875,2537.610107421875,2451.449951171875,2454.89990234375,33001000,Europe,-2.9184976570242687,Feb,Thursday
2010-02-05,2427.8798828125,2429.18994140625,2376.510009765625,2392.52001953125,49153000,Europe,-1.4564090889162316,Feb,Friday
2010-02-08,2397.8798828125,2425.919921875,2375.719970703125,2402.14990234375,31897800,Europe,0.1780747885603697,Feb,Monday
2010-02-09,2400.3701171875,2422.22998046875,2393.300048828125,2413.179931640625,31929400,Europe,0.5336599702438467,Feb,Tuesday
2010-02-10,2437.64990234375,2464.52001953125,2428.56005859375,2440.7900390625,38408600,Europe,0.12881819968203076,Feb,Wednesday
2010-02-11,2449.52001953125,2474.610107421875,2430.06005859375,2453.7900390625,32750400,Europe,0.17432066270955107,Feb,Thursday
2010-02-12,2475.1298828125,2484.31005859375,2446.260009765625,2461.469970703125,26916200,Europe,-0.5518866789266503,Feb,Friday
2010-02-15,2462.199951171875,2476.419921875,2445.919921875,2449.7900390625,11971600,Europe,-0.5040172348094049,Feb,Monday
2010-02-16,2467.139892578125,2481.669921875,2448.4599609375,2475.47998046875,17659000,Europe,0.3380468175199312,Feb,Tuesday
2010-02-17,2489.389892578125,2518.56005859375,2483.679931640625,2512.840087890625,26006200,Europe,0.9420057252748751,Feb,Wednesday
2010-02-18,2512.889892578125,2518.409912109375,2497.580078125,2518.409912109375,19981200,Europe,0.2196681815448221,Feb,Thursday
2010-02-19,2500.429931640625,2527.72998046875,2498.77001953125,2527.72998046875,19430800,Europe,1.0918141909384529,Feb,Friday
2010-02-22,2526.010009765625,2529.9599609375,2511.60009765625,2521.10009765625,18699200,Europe,-0.19437421429024995,Feb,Monday
2010-02-23,2526.739990234375,2536.419921875,2495.47998046875,2502.889892578125,20212800,Europe,-0.9439078713452315,Feb,Tuesday
2010-02-24,2507.280029296875,2517.110107421875,2492.35009765625,2514.93994140625,17214000,Europe,0.30550684486260177,Feb,Wednesday
