,Open,High,Low,Close,Volume,Region,Change In Price (%),Month,Day of Week
2010-01-04,68587.0,70081.0,68587.0,70045.0,1655400,Latin America,2.1257672736816016,Jan,Monday
2010-01-05,70046.0,70595.0,69928.0,70240.0,1984200,Latin America,0.2769608542957485,Jan,Tuesday
2010-01-06,70237.0,70937.0,70016.0,70729.0,2243600,Latin America,0.7004854990959181,Jan,Wednesday
2010-01-07,70723.0,70723.0,70045.0,70451.0,1555000,Latin America,-0.38459906960960366,Jan,Thursday
2010-01-08,70455.0,70766.0,70158.0,70263.0,1634400,Latin America,-0.2725143708750266,Jan,Friday
2010-01-11,70267.0,71068.0,70158.0,70433.0,1569000,Latin America,0.23624176355899637,Jan,Monday
2010-01-12,70429.0,70429.0,69284.0,70076.0,1628600,Latin America,-0.5012139885558505,Jan,Tuesday
2010-01-13,70081.0,70626.0,69535.0,70385.0,1818800,Latin America,0.4337837645010773,Jan,Wednesday
2010-01-14,70377.0,70508.0,69661.0,69801.0,1830200,Latin America,-0.8184492092587067,Jan,Thursday
2010-01-15,69780.0,69788.0,68695.0,68978.0,1648400,Latin America,-1.1493264545715105,Jan,Friday
2010-01-18,68983.0,69748.0,68983.0,69401.0,1139000,Latin America,0.6059463925894786,Jan,Monday
2010-01-19,69396.0,70036.0,68867.0,69909.0,1323400,Latin America,0.7392356908179145,Jan,Tuesday
2010-01-20,69901.0,69901.0,67546.0,68200.0,1990600,Latin America,-2.4334415816654986,Jan,Wednesday
2010-01-21,68200.0,68458.0,65996.0,66270.0,2263800,Latin America,-2.8299120234604103,Jan,Thursday
2010-01-22,66264.0,66660.0,65445.0,66220.0,1305000,Latin America,-0.06640106241699867,Jan,Friday
2010-01-26,66213.0,66213.0,64719.0,65524.0,1990400,Latin America,-1.040581154758129,Jan,Tuesday
2010-01-27,65527.0,65663.0,64553.0,65070.0,1813600,Latin America,-0.6974224365528714,Jan,Wednesday
2010-01-28,65071.0,66049.0,64541.0,65588.0,1649400,Latin America,0.7945167586175101,Jan,Thursday
2010-01-29,65591.0,66576.0,65140.0,65402.0,1823200,Latin America,-0.28814928877437457,Jan,Friday
