,Open,High,Low,Close,Volume,Region,Change In Price (%),Month,Day of Week
2010-01-04,5412.89990234375,5500.2998046875,5410.7998046875,5500.2998046875,750942000,Europe,1.6146594971376882,Jan,Monday
2010-01-05,5500.2998046875,5536.39990234375,5480.7001953125,5522.5,1149301200,Europe,0.40361791358319066,Jan,Tuesday
2010-01-06,5522.5,5536.5,5497.7001953125,5530.0,998295300,Europe,0.1358080579447714,Jan,Wednesday
2010-01-07,5530.0,5551.7001953125,5499.7998046875,5526.7001953125,1162933700,Europe,-0.059670970840868,Jan,Thursday
2010-01-08,5526.7001953125,5549.2998046875,5494.7998046875,5534.2001953125,1006420600,Europe,0.13570484620029083,Jan,Friday
2010-01-11,5534.2001953125,5600.5,5527.89990234375,5538.10009765625,901194900,Europe,0.07046912301895476,Jan,Monday
2010-01-12,5538.10009765625,5549.60009765625,5459.89990234375,5498.7001953125,957401700,Europe,-0.7114335539082117,Jan,Tuesday
2010-01-13,5498.7001953125,5509.7001953125,5450.89990234375,5473.5,849923000,Europe,-0.45829367700356743,Jan,Wednesday
2010-01-14,5473.5,5521.89990234375,5473.5,5498.2001953125,928036100,Europe,0.4512687551383941,Jan,Thursday
2010-01-15,5498.2001953125,5527.0,5450.39990234375,5455.39990234375,1743437800,Europe,-0.778441880039935,Jan,Friday
2010-01-18,5455.39990234375,5504.0,5454.2998046875,5494.39990234375,776795200,Europe,0.7148880136769591,Jan,Monday
2010-01-19,5494.39990234375,5531.89990234375,5431.2998046875,5513.10009765625,1107801600,Europe,0.34035009545852396,Jan,Tuesday
2010-01-20,5513.10009765625,5513.10009765625,5404.0,5420.7998046875,1199200900,Europe,-1.6741994764069141,Jan,Wednesday
2010-01-21,5420.7998046875,5468.39990234375,5331.60009765625,5335.10009765625,1345500500,Europe,-1.5809421140611637,Jan,Thursday
2010-01-22,5335.10009765625,5345.60009765625,5253.0,5303.0,1645842400,Europe,-0.6016775143610111,Jan,Friday
2010-01-25,5303.0,5330.60009765625,5252.89990234375,5260.2998046875,1024448800,Europe,-0.8052082842259098,Jan,Monday
2010-01-26,5260.2998046875,5276.89990234375,5215.7001953125,5276.89990234375,1015919800,Europe,0.3155732234398029,Jan,Tuesday
2010-01-27,5276.89990234375,5276.89990234375,5192.60009765625,5217.5,1271716800,Europe,-1.1256590695868112,Jan,Wednesday
2010-01-28,5217.5,5280.39990234375,5145.7001953125,5145.7001953125,1294378400,Europe,-1.3761342537134644,Jan,Thursday
2010-01-29,5145.7001953125,5230.2001953125,5145.7001953125,5188.5,1281845800,Europe,0.8317586152121472,Jan,Friday
2010-02-01,5188.5,5250.10009765625,5163.60009765625,5247.39990234375,934766100,Europe,1.1352009702948829,Feb,Monday
2010-02-02,5247.39990234375,5289.10009765625,5208.2001953125,5283.2998046875,1105691000,Europe,0.6841464918218891,Feb,Tuesday
2010-02-03,5283.2998046875,5305.39990234375,5237.7001953125,5253.2001953125,1140388100,Europe,-0.5697123102553207,Feb,Wednesday
2010-02-04,5253.2001953125,5262.2001953125,5123.89990234375,5139.2998046875,1725801600,Europe,-2.1682095939658805,Feb,Thursday
2010-02-05,5139.2998046875,5139.2998046875,5033.7998046875,5060.89990234375,1930760100,Europe,-1.5254977394438498,Feb,Friday
2010-02-08,5060.89990234375,5118.10009765625,5033.0,5092.2998046875,1326821100,Europe,0.620441086558705,Feb,Monday
2010-02-09,5092.2998046875,5132.89990234375,5084.7998046875,5111.7998046875,1284674100,Europe,0.3829311067280466,Feb,Tuesday
2010-02-10,5111.7998046875,5181.2001953125,5105.2998046875,5132.0,1191910000,Europe,0.3951679659672216,Feb,Wednesday
2010-02-11,5132.0,5201.7998046875,5114.5,5161.5,1565807200,Europe,0.5748246297739673,Feb,Thursday
2010-02-12,5161.5,5207.7001953125,5117.39990234375,5142.5,1285903300,Europe,-0.36811004552940035,Feb,Friday
2010-02-15,5142.5,5194.2998046875,5142.5,5167.5,591532800,Europe,0.48614487117160915,Feb,Monday
2010-02-16,5167.5,5248.10009765625,5167.5,5244.10009765625,1098282000,Europe,1.4823434476294146,Feb,Tuesday
2010-02-17,5244.10009765625,5304.5,5244.10009765625,5276.60009765625,1205018000,Europe,0.6197440818211165,Feb,Wednesday
2010-02-18,5276.60009765625,5326.39990234375,5261.7001953125,5325.10009765625,966085200,Europe,0.9191524675433075,Feb,Thursday
2010-02-19,5325.10009765625,5366.10009765625,5281.39990234375,5358.2001953125,1469031000,Europe,0.6215863936683261,Feb,Friday
2010-02-22,5358.2001953125,5387.0,5348.2001953125,5352.10009765625,961342400,Europe,-0.11384601981811976,Feb,Monday
2010-02-23,5352.10009765625,5395.5,5302.0,5315.10009765625,1063966500,Europe,-0.6913174141904175,Feb,Tuesday
2010-02-24,5315.10009765625,5357.89990234375,5298.2001953125,5342.89990234375,953221200,Europe,0.5230344523475413,Feb,Wednesday
2010-02-25,5342.89990234375,5370.39990234375,5259.7001953125,5278.2001953125,1951587200,Europe,-1.2109473921244234,Feb,Thursday
2010-02-26,5278.2001953125,5367.7998046875,5278.2001953125,5354.5,1700847600,Europe,1.4455648111881179,Feb,Friday
2010-03-01,5354.5,5420.7998046875,5354.5,5405.89990234375,1423330600,Europe,0.9599384133672612,Mar,Monday
2010-03-02,5405.89990234375,5485.0,5403.7001953125,5484.10009765625,1218498700,Europe,1.4465712781436442,Mar,Tuesday
2010-03-03,5484.10009765625,5541.7998046875,5465.2998046875,5533.2001953125,1108893100,Europe,0.8953173133589228,Mar,Wednesday
2010-03-04,5533.2001953125,5544.2001953125,5501.10009765625,5527.2001953125,1075263000,Europe,-0.1084363440361864,Mar,Thursday
2010-03-05,5527.2001953125,5605.39990234375,5527.2001953125,5599.7998046875,1001732100,Europe,1.3134970113181386,Mar,Friday
2010-03-08,5599.7998046875,5621.2001953125,5579.2001953125,5606.7001953125,837350700,Europe,0.12322566637514071,Mar,Monday
2010-03-09,5606.7001953125,5618.39990234375,5563.10009765625,5602.2998046875,993738400,Europe,-0.07848450018210285,Mar,Tuesday
2010-03-10,5602.2998046875,5645.2998046875,5585.39990234375,5640.60009765625,997893900,Europe,0.6836530407869954,Mar,Wednesday
2010-03-11,5640.60009765625,5642.89990234375,5594.7001953125,5617.2998046875,889812900,Europe,-0.4130818098313973,Mar,Thursday
2010-03-12,5617.2998046875,5646.7001953125,5612.39990234375,5625.7001953125,1292880400,Europe,0.14954499345023528,Mar,Friday
2010-03-15,5625.7001953125,5627.0,5588.2001953125,5593.89990234375,818311200,Europe,-0.5652681775549814,Mar,Monday
2010-03-16,5593.89990234375,5637.7001953125,5593.89990234375,5620.39990234375,878179400,Europe,0.4737303216472813,Mar,Tuesday
2010-03-17,5620.39990234375,5657.7998046875,5620.39990234375,5644.60009765625,930653500,Europe,0.4305778188916474,Mar,Wednesday
2010-03-18,5644.60009765625,5661.0,5619.2001953125,5642.60009765625,919829700,Europe,-0.03543209377809492,Mar,Thursday
2010-03-19,5642.60009765625,5691.2001953125,5633.5,5650.10009765625,2488301900,Europe,0.1329174471023607,Mar,Friday
2010-03-22,5650.10009765625,5650.10009765625,5583.5,5644.5,886165700,Europe,-0.09911501671577479,Mar,Monday
2010-03-23,5644.5,5695.89990234375,5644.5,5673.60009765625,969327600,Europe,0.515547836943042,Mar,Tuesday
2010-03-24,5673.60009765625,5698.89990234375,5636.0,5677.89990234375,1118840000,Europe,0.07578617832575543,Mar,Wednesday
2010-03-25,5677.89990234375,5737.10009765625,5673.10009765625,5727.7001953125,1098678300,Europe,0.877090012597672,Mar,Thursday
2010-03-26,5727.7001953125,5727.7001953125,5695.5,5703.0,1031531100,Europe,-0.43124106482937824,Mar,Friday
2010-03-29,5703.0,5733.10009765625,5684.60009765625,5710.7001953125,1015977100,Europe,0.1350200826319481,Mar,Monday
2010-03-30,5710.7001953125,5742.7998046875,5662.7998046875,5672.2998046875,930757400,Europe,-0.6724287620022515,Mar,Tuesday
2010-03-31,5672.2998046875,5698.5,5646.2998046875,5679.60009765625,1105283700,Europe,0.12870076018755483,Mar,Wednesday
2010-04-01,5679.60009765625,5744.89990234375,5679.5,5744.89990234375,807719900,Europe,1.149725395533511,Apr,Thursday
2010-04-06,5744.89990234375,5790.39990234375,5744.60009765625,5780.39990234375,845433900,Europe,0.6179394002237888,Apr,Tuesday
2010-04-07,5780.39990234375,5782.2998046875,5753.39990234375,5762.10009765625,828676900,Europe,-0.3165837138721158,Apr,Wednesday
