,Open,High,Low,Close,Volume,Region,Change In Price (%),Month,Day of Week
2010-01-04,5975.52001953125,6048.2998046875,5974.43017578125,6048.2998046875,104344400,Europe,1.2179657154250354,Jan,Monday
2010-01-05,6043.93994140625,6058.02001953125,6015.669921875,6031.85986328125,117572100,Europe,-0.19987091602682797,Jan,Tuesday
2010-01-06,6032.39013671875,6047.56982421875,5997.08984375,6034.330078125,108742400,Europe,0.03215875237315485,Jan,Wednesday
2010-01-07,6016.7998046875,6037.56982421875,5961.25,6019.35986328125,133704300,Europe,0.0425485087895984,Jan,Thursday
2010-01-08,6028.6201171875,6053.0400390625,5972.240234375,6037.60986328125,126099000,Europe,0.14911780671202648,Jan,Friday
2010-01-11,6057.93017578125,6094.259765625,6031.14013671875,6040.5,103675800,Europe,-0.2877249369914065,Jan,Monday
2010-01-12,6039.39013671875,6055.56005859375,5924.72021484375,5943.0,129269700,Europe,-1.5960243424697769,Jan,Tuesday
2010-01-13,5937.169921875,5974.43994140625,5925.240234375,5963.14013671875,114728400,Europe,0.43741740905991155,Jan,Wednesday
2010-01-14,5999.080078125,6009.91015625,5951.68994140625,5988.8798828125,115453700,Europe,-0.17002932415744731,Jan,Thursday
2010-01-15,5996.56005859375,6025.35986328125,5866.83984375,5875.97021484375,156035200,Europe,-2.0109836735009616,Jan,Friday
2010-01-18,5897.6298828125,5922.93017578125,5877.64990234375,5918.5498046875,79532100,Europe,0.35471744227231117,Jan,Monday
2010-01-19,5905.330078125,5988.7998046875,5849.669921875,5976.47998046875,113604900,Europe,1.2048420901535921,Jan,Tuesday
2010-01-20,5963.7099609375,5972.77001953125,5832.08984375,5851.52978515625,118371200,Europe,-1.8810468067031079,Jan,Wednesday
2010-01-21,5878.240234375,5908.85009765625,5742.4501953125,5746.97021484375,138594400,Europe,-2.233151662696671,Jan,Thursday
2010-01-22,5735.68017578125,5740.8701171875,5639.490234375,5695.31982421875,177787000,Europe,-0.7036715842860357,Jan,Friday
2010-01-25,5662.85009765625,5693.85986328125,5624.580078125,5631.3701171875,122382000,Europe,-0.5559034748558679,Jan,Monday
2010-01-26,5593.93994140625,5675.9599609375,5574.4599609375,5668.93017578125,140930900,Europe,1.340562021767941,Jan,Tuesday
2010-01-27,5643.52001953125,5673.72998046875,5589.009765625,5643.2001953125,143566600,Europe,-0.0056671052400477625,Jan,Wednesday
2010-01-28,5687.10009765625,5718.81005859375,5540.330078125,5540.330078125,185119100,Europe,-2.5807532311895898,Jan,Thursday
2010-01-29,5566.02978515625,5657.8701171875,5556.18994140625,5608.7900390625,206927000,Europe,0.7682361675513317,Jan,Friday
2010-02-01,5587.5,5674.2099609375,5567.72021484375,5654.47998046875,130680700,Europe,1.1987468540268456,Feb,Monday
2010-02-02,5664.25,5723.2001953125,5624.60986328125,5709.66015625,137793900,Europe,0.8016975989760339,Feb,Tuesday
2010-02-03,5715.16015625,5733.7099609375,5656.89990234375,5672.08984375,133970300,Europe,-0.7536151450261468,Feb,Wednesday
2010-02-04,5671.169921875,5696.93994140625,5522.56982421875,5533.240234375,170297100,Europe,-2.432120521869282,Feb,Thursday
2010-02-05,5515.68994140625,5527.0,5433.02001953125,5434.33984375,234113800,Europe,-1.4748852549806204,Feb,Friday
2010-02-08,5476.47021484375,5505.06005859375,5434.39990234375,5484.85009765625,137808300,Europe,0.1530161305321568,Feb,Monday
2010-02-09,5485.31005859375,5537.97021484375,5461.509765625,5498.259765625,130402000,Europe,0.23607976382231838,Feb,Tuesday
2010-02-10,5533.7099609375,5592.27001953125,5505.3701171875,5536.3701171875,132047100,Europe,0.04807184093091367,Feb,Wednesday
2010-02-11,5562.830078125,5580.77001953125,5454.06982421875,5503.93017578125,122397400,Europe,-1.0588118191020266,Feb,Thursday
2010-02-12,5550.4501953125,5565.43017578125,5460.0498046875,5500.39013671875,114810000,Europe,-0.9019098781577578,Feb,Friday
2010-02-15,5525.740234375,5547.14013671875,5502.490234375,5511.10009765625,61554900,Europe,-0.26494435311445474,Feb,Monday
2010-02-16,5573.06982421875,5592.1201171875,5498.06982421875,5592.1201171875,106068700,Europe,0.3418276384401936,Feb,Tuesday
2010-02-17,5640.169921875,5682.35986328125,5634.97998046875,5648.33984375,122735600,Europe,0.14485240672117938,Feb,Wednesday
2010-02-18,5645.6298828125,5691.60009765625,5626.080078125,5680.41015625,125325700,Europe,0.6160565633851544,Feb,Thursday
2010-02-19,5627.259765625,5729.580078125,5626.56982421875,5722.0498046875,121594600,Europe,1.6844795337428677,Feb,Friday
2010-02-22,5741.0,5743.89013671875,5683.60986328125,5688.43994140625,94749200,Europe,-0.9155209648798118,Feb,Monday
2010-02-23,5715.6298828125,5732.14013671875,5584.47021484375,5604.06982421875,138143800,Europe,-1.951841894612925,Feb,Tuesday
2010-02-24,5622.31005859375,5639.7099609375,5572.25,5615.509765625,130761600,Europe,-0.12095193786681496,Feb,Wednesday
2010-02-25,5562.7001953125,5655.75,5518.27001953125,5532.330078125,150089500,Europe,-0.5459599856395617,Feb,Thursday
2010-02-26,5588.990234375,5605.10009765625,5530.18994140625,5598.4599609375,114404300,Europe,0.16943537500310146,Feb,Friday
2010-03-01,5652.85009765625,5717.72021484375,5641.18017578125,5713.509765625,98501000,Europe,1.073081134663386,Mar,Monday
2010-03-02,5728.27978515625,5780.14013671875,5709.740234375,5776.56005859375,116696700,Europe,0.8428406999708563,Mar,Tuesday
2010-03-03,5759.22021484375,5828.7998046875,5750.2998046875,5817.8798828125,104617500,Europe,1.0185349019570604,Mar,Wednesday
