,Open,High,Low,Close,Volume,Region,Change In Price (%),Month,Day of Week
2010-01-04,11847.2998046875,11872.2001953125,11746.099609375,11866.900390625,132670500,US & Canada,0.16544348721338878,Jan,Monday
2010-01-05,11900.0,11935.2001953125,11837.2001953125,11888.099609375,167798200,US & Canada,-0.10000328256302522,Jan,Tuesday
2010-01-06,11912.900390625,11971.599609375,11888.099609375,11944.5,194400800,US & Canada,0.2652553814675366,Jan,Wednesday
2010-01-07,11925.0,11944.5,11819.5,11887.5,190573600,US & Canada,-0.3144654088050315,Jan,Thursday
2010-01-08,11883.2998046875,11953.7998046875,11863.099609375,11953.7998046875,167761200,US & Canada,0.593269556089046,Jan,Friday
2010-01-11,12070.7001953125,12070.7001953125,11923.2001953125,11947.099609375,172295300,US & Canada,-1.0239719646545333,Jan,Monday
2010-01-12,11866.599609375,11947.099609375,11766.5,11820.2001953125,177640000,US & Canada,-0.391008507827659,Jan,Tuesday
2010-01-13,11802.7998046875,11865.2001953125,11738.599609375,11853.599609375,172419900,US & Canada,0.4304046965816092,Jan,Wednesday
2010-01-14,11873.599609375,11888.2998046875,11776.400390625,11804.400390625,161042700,US & Canada,-0.5827989912626209,Jan,Thursday
2010-01-15,11782.599609375,11804.400390625,11684.2001953125,11685.400390625,148632900,US & Canada,-0.8249386550711781,Jan,Friday
2010-01-18,11711.099609375,11754.099609375,11685.400390625,11750.5,632200,US & Canada,0.336436303500135,Jan,Monday
2010-01-19,11746.2001953125,11765.599609375,11710.400390625,11763.400390625,144213400,US & Canada,0.14643199525378428,Jan,Tuesday
2010-01-20,11699.099609375,11763.400390625,11581.599609375,11679.2998046875,193857300,US & Canada,-0.16924212416854328,Jan,Wednesday
2010-01-21,11557.2001953125,11679.2998046875,11461.2998046875,11469.099609375,197664900,US & Canada,-0.7623004226683971,Jan,Thursday
2010-01-22,11400.0,11481.0,11318.2998046875,11343.400390625,194087600,US & Canada,-0.49648780153508776,Jan,Friday
2010-01-25,11384.7001953125,11423.2998046875,11343.400390625,11354.5,134679900,US & Canada,-0.26527000970069053,Jan,Monday
2010-01-26,11349.2998046875,11421.599609375,11271.400390625,11361.2001953125,165123100,US & Canada,0.10485572528522763,Jan,Tuesday
2010-01-27,11324.7001953125,11367.400390625,11259.0,11344.099609375,196445400,US & Canada,0.17130178925645884,Jan,Wednesday
2010-01-28,11279.599609375,11389.2001953125,11162.099609375,11274.2001953125,181342100,US & Canada,-0.04786884507861694,Jan,Thursday
2010-01-29,11142.7998046875,11324.2001953125,11084.2998046875,11094.2998046875,183158600,US & Canada,-0.43525864998128433,Jan,Friday
2010-02-01,11147.5,11317.599609375,11094.2998046875,11317.599609375,151740700,US & Canada,1.5258991646108993,Feb,Monday
2010-02-02,11366.0,11430.2998046875,11297.599609375,11408.2998046875,201381600,US & Canada,0.37216087178866797,Feb,Tuesday
2010-02-03,11395.599609375,11454.599609375,11348.7001953125,11390.5,177829900,US & Canada,-0.04475068929944347,Feb,Wednesday
2010-02-04,11163.599609375,11390.5,11120.099609375,11128.7998046875,213830700,US & Canada,-0.31172566112345806,Feb,Thursday
2010-02-05,11123.7001953125,11223.099609375,10990.400390625,11223.099609375,213138200,US & Canada,0.8935822821293463,Feb,Friday
2010-02-08,11135.099609375,11277.599609375,11099.5,11115.2998046875,151081000,US & Canada,-0.17781434726304474,Feb,Monday
2010-02-09,11210.0,11314.400390625,11115.2998046875,11274.2001953125,166711900,US & Canada,0.5727046861061552,Feb,Tuesday
2010-02-10,11280.2998046875,11321.400390625,11212.400390625,11286.2998046875,153652200,US & Canada,0.05319007565301336,Feb,Wednesday
2010-02-11,11300.099609375,11438.0,11232.900390625,11435.5,202980700,US & Canada,1.1982229830316415,Feb,Thursday
2010-02-12,11349.2001953125,11469.7998046875,11335.7001953125,11469.7998046875,175657700,US & Canada,1.0626265049479928,Feb,Friday
2010-02-16,11545.5,11601.5,11469.7998046875,11586.400390625,156177800,US & Canada,0.35425395716945995,Feb,Tuesday
2010-02-17,11605.599609375,11697.0,11586.400390625,11635.5,166419800,US & Canada,0.2576376200402991,Feb,Wednesday
2010-02-18,11629.7001953125,11712.2998046875,11618.599609375,11694.7998046875,144869600,US & Canada,0.5597703146400905,Feb,Thursday
