,Open,High,Low,Close,Volume,Region,Change In Price (%),Month,Day of Week
2010-01-04,21860.0390625,22024.830078125,21689.220703125,21823.279296875,1006199600,East Asia,-0.1681596520477398,Jan,Monday
2010-01-05,22092.150390625,22297.0390625,21987.26953125,22279.580078125,1965584800,East Asia,0.8483994730523717,Jan,Tuesday
2010-01-06,22357.4609375,22514.7890625,22277.130859375,22416.669921875,2100234000,East Asia,0.2648287501900058,Jan,Wednesday
2010-01-07,22548.029296875,22548.029296875,22169.609375,22269.44921875,1495365300,East Asia,-1.2354963462975865,Jan,Thursday
2010-01-08,22282.75,22443.220703125,22206.16015625,22296.75,1626022600,East Asia,0.0628288698657033,Jan,Friday
2010-01-11,22524.1796875,22671.919921875,22373.9609375,22411.51953125,1744637600,East Asia,-0.5001742918634314,Jan,Monday
2010-01-12,22378.23046875,22476.119140625,22192.98046875,22326.640625,2204776800,East Asia,-0.230535849659974,Jan,Tuesday
2010-01-13,21990.6796875,22012.0390625,21688.169921875,21748.599609375,3414190400,East Asia,-1.1008303588842858,Jan,Wednesday
2010-01-14,21871.009765625,21988.9296875,21707.099609375,21716.94921875,2338667600,East Asia,-0.7044052767839706,Jan,Thursday
2010-01-15,21715.08984375,21788.849609375,21581.0703125,21654.16015625,2659842200,East Asia,-0.28058685429540914,Jan,Friday
2010-01-18,21418.33984375,21645.6796875,21320.970703125,21460.009765625,1867401600,East Asia,0.19455252918287938,Jan,Monday
2010-01-19,21481.109375,21681.689453125,21335.599609375,21677.98046875,1913397800,East Asia,0.9164847602290093,Jan,Tuesday
2010-01-20,21543.25,21561.560546875,21171.30078125,21286.169921875,2197552000,East Asia,-1.1933207762292133,Jan,Wednesday
2010-01-21,21192.830078125,21272.259765625,20828.240234375,20862.669921875,2465648800,East Asia,-1.5578861106935764,Jan,Thursday
2010-01-22,20527.19921875,20738.990234375,20250.359375,20726.1796875,3220362000,East Asia,0.9693503075093013,Jan,Friday
2010-01-25,20447.7890625,20619.69921875,20422.669921875,20598.55078125,1909841600,East Asia,0.7373008313475211,Jan,Monday
2010-01-26,20560.109375,20560.109375,20046.599609375,20109.330078125,2270009200,East Asia,-2.1924946441341584,Jan,Tuesday
2010-01-27,20185.80078125,20340.8203125,19923.55078125,20033.0703125,1822372600,East Asia,-0.7566232838870919,Jan,Wednesday
2010-01-28,20202.330078125,20437.560546875,20170.150390625,20356.369140625,1880647200,East Asia,0.7624816637700266,Jan,Thursday
2010-01-29,20026.51953125,20327.689453125,19916.33984375,20121.990234375,1784257400,East Asia,0.47672139422940946,Jan,Friday
2010-02-01,19987.669921875,20254.240234375,19845.9296875,20243.75,1701996800,East Asia,1.281190249418416,Feb,Monday
2010-02-02,20432.9609375,20533.9609375,20181.279296875,20272.1796875,1561642000,East Asia,-0.7868720078886022,Feb,Tuesday
2010-02-03,20486.150390625,20780.5,20315.310546875,20722.080078125,1922114800,East Asia,1.1516545715097728,Feb,Wednesday
2010-02-04,20534.740234375,20554.19921875,20316.330078125,20341.640625,1607734100,East Asia,-0.9403557443193399,Feb,Thursday
2010-02-05,19706.240234375,19822.9296875,19655.880859375,19665.080078125,2515439200,East Asia,-0.2088686414073112,Feb,Friday
2010-02-08,19614.849609375,19673.109375,19423.05078125,19550.890625,1751004600,East Asia,-0.32607430415592137,Feb,Monday
2010-02-09,19493.5,19843.869140625,19461.19921875,19790.279296875,1495157300,East Asia,1.52245259637828,Feb,Tuesday
2010-02-10,19914.83984375,19976.66015625,19681.5390625,19922.220703125,1581352800,East Asia,0.03706210761878852,Feb,Wednesday
2010-02-11,20095.529296875,20310.7890625,20095.529296875,20290.689453125,1338864100,East Asia,0.9711620598137161,Feb,Thursday
2010-02-12,20240.669921875,20428.3203125,20212.55078125,20268.689453125,1193582100,East Asia,0.13843183727687805,Feb,Friday
2010-02-17,20657.859375,20684.220703125,20471.359375,20534.009765625,1111742000,East Asia,-0.599527797758571,Feb,Wednesday
2010-02-18,20534.76953125,20569.609375,20381.30078125,20422.150390625,720614400,East Asia,-0.548431480828724,Feb,Thursday
2010-02-19,20261.490234375,20261.490234375,19874.55078125,19894.01953125,1329484500,East Asia,-1.8136410445346263,Feb,Friday
2010-02-22,20407.83984375,20427.08984375,20313.150390625,20377.26953125,1067658300,East Asia,-0.1497969051798606,Feb,Monday
2010-02-23,20218.509765625,20711.75,20120.099609375,20623.0,1469337300,East Asia,2.0005937087544603,Feb,Tuesday
2010-02-24,20357.419921875,20583.83984375,20351.05078125,20467.740234375,1508097400,East Asia,0.5419169665083916,Feb,Wednesday
2010-02-25,20512.380859375,20644.26953125,20261.98046875,20399.5703125,1980209600,East Asia,-0.5499632034349682,Feb,Thursday
2010-02-26,20657.830078125,20662.83984375,20567.580078125,20608.69921875,1492479400,East Asia,-0.2378316560316065,Feb,Friday
2010-03-01,20853.080078125,21056.9296875,20853.080078125,21056.9296875,2585990000,East Asia,0.9775515588646274,Mar,Monday
2010-03-02,20921.439453125,20961.830078125,20847.4609375,20906.109375,2296292200,East Asia,-0.07327449031099134,Mar,Tuesday
2010-03-03,21016.2890625,21016.2890625,20845.16015625,20876.7890625,1674115300,East Asia,-0.6637708473895806,Mar,Wednesday
2010-03-04,20983.810546875,21000.130859375,20575.779296875,20575.779296875,1910837600,East Asia,-1.9445050225196863,Mar,Thursday
2010-03-05,20820.970703125,20820.970703125,20654.939453125,20787.970703125,2875176000,East Asia,-0.15849405136066524,Mar,Friday
2010-03-08,21099.7109375,21257.08984375,21080.759765625,21196.869140625,2052899600,East Asia,0.46047172595299923,Mar,Monday
2010-03-09,21153.619140625,21277.66015625,21128.9296875,21207.55078125,1421012500,East Asia,0.2549523098930415,Mar,Tuesday
2010-03-10,21293.51953125,21293.51953125,21156.08984375,21208.2890625,1257677200,East Asia,-0.40026482529070523,Mar,Wednesday
2010-03-11,21333.060546875,21333.060546875,21059.060546875,21228.19921875,1402218700,East Asia,-0.4915437608897648,Mar,Thursday
2010-03-12,21249.80078125,21260.0703125,21116.83984375,21209.740234375,1164407200,East Asia,-0.1885219879818726,Mar,Friday
2010-03-15,21036.419921875,21116.5,20964.310546875,21079.099609375,1143308800,East Asia,0.202884747777919,Mar,Monday
2010-03-16,21135.7890625,21196.830078125,20986.689453125,21022.9296875,1027809600,East Asia,-0.5339728489258999,Mar,Tuesday
2010-03-17,21183.599609375,21440.1796875,21159.4296875,21384.490234375,1612088200,East Asia,0.948330919694564,Mar,Wednesday
2010-03-18,21429.689453125,21440.810546875,21287.369140625,21330.669921875,1341953000,East Asia,-0.46206703772629987,Mar,Thursday
2010-03-19,21359.55078125,21389.0,21257.80078125,21370.8203125,1347445900,East Asia,0.05276108737217781,Mar,Friday
2010-03-22,21120.4296875,21120.4296875,20899.689453125,20933.25,1572548900,East Asia,-0.8862494289629967,Mar,Monday
2010-03-23,21070.650390625,21211.080078125,20971.560546875,20987.779296875,1253196700,East Asia,-0.39330107146038534,Mar,Tuesday
2010-03-24,21203.5,21205.5,20974.05078125,21008.619140625,1282110100,East Asia,-0.9190975988633951,Mar,Wednesday
2010-03-25,20799.05078125,20800.94921875,20659.279296875,20778.55078125,1456677500,East Asia,-0.09856219024418368,Mar,Thursday
2010-03-26,20679.650390625,21126.75,20679.650390625,21053.109375,1863882000,East Asia,1.8059250389663526,Mar,Friday
2010-03-29,21148.05078125,21318.23046875,21125.91015625,21237.4296875,1394443900,East Asia,0.422634252085511,Mar,Monday
2010-03-30,21230.529296875,21450.98046875,21202.169921875,21374.7890625,1749750800,East Asia,0.6794920824052848,Mar,Tuesday
2010-03-31,21366.619140625,21446.80078125,21230.2890625,21239.349609375,2159444200,East Asia,-0.5956465569605188,Mar,Wednesday
2010-04-01,21390.890625,21547.66015625,21373.16015625,21537.0,2059414400,East Asia,0.6830448416637631,Apr,Thursday
2010-04-07,21828.349609375,21935.41015625,21747.5703125,21928.76953125,2868746800,East Asia,0.46004358401823886,Apr,Wednesday
2010-04-08,21836.419921875,21949.25,21813.349609375,21867.0390625,1712260400,East Asia,0.14022051570059232,Apr,Thursday
2010-04-09,22014.73046875,22249.23046875,21963.779296875,22208.5,2129071600,East Asia,0.8801812564775965,Apr,Friday
2010-04-12,22388.76953125,22388.76953125,22131.9296875,22138.169921875,1580086800,East Asia,-1.1193094333532523,Apr,Monday
2010-04-13,22216.109375,22290.669921875,22008.05078125,22103.529296875,1868202800,East Asia,-0.5067497473328406,Apr,Tuesday
2010-04-14,22183.05078125,22192.330078125,22061.76953125,22121.4296875,1302086200,East Asia,-0.2777845768720171,Apr,Wednesday
2010-04-15,22265.359375,22337.890625,22113.2109375,22157.8203125,1459714700,East Asia,-0.48298821810505804,Apr,Thursday
2010-04-16,22059.30078125,22111.990234375,21788.880859375,21865.259765625,2496724000,East Asia,-0.8796335729278024,Apr,Friday
2010-04-19,21557.779296875,21582.130859375,21283.30078125,21405.169921875,2348763400,East Asia,-0.7079086064403775,Apr,Monday
2010-04-20,21519.259765625,21647.75,21507.470703125,21623.380859375,1422031800,East Asia,0.48385072202308593,Apr,Tuesday
2010-04-21,21732.759765625,21740.640625,21475.98046875,21510.9296875,1624158100,East Asia,-1.0207174814303686,Apr,Wednesday
2010-04-22,21283.9296875,21471.109375,21206.740234375,21454.939453125,1352022600,East Asia,0.8034689464579167,Apr,Thursday
2010-04-23,21385.16015625,21442.76953125,21232.150390625,21244.490234375,1306533600,East Asia,-0.6577922299725587,Apr,Friday
2010-04-26,21501.2109375,21617.849609375,21489.05078125,21587.060546875,1140597000,East Asia,0.3992780203149895,Apr,Monday
2010-04-27,21341.48046875,21383.2109375,21224.05078125,21261.7890625,1327490700,East Asia,-0.37341086231899845,Apr,Tuesday
2010-04-28,20853.830078125,21021.669921875,20853.830078125,20949.400390625,1788287200,East Asia,0.45828661757558964,Apr,Wednesday
2010-04-29,20994.369140625,21007.560546875,20763.33984375,20778.919921875,1617080700,East Asia,-1.026223828431675,Apr,Thursday
2010-04-30,20934.0703125,21121.51953125,20920.150390625,21108.58984375,2387265600,East Asia,0.8336626783267856,Apr,Friday
2010-05-03,20799.7890625,20886.849609375,20773.970703125,20811.359375,1312414100,East Asia,0.05562706653049742,May,Monday
2010-05-04,20935.900390625,21011.94921875,20743.490234375,20763.05078125,1291199700,East Asia,-0.825613449385732,May,Tuesday
2010-05-05,20390.119140625,20505.66015625,20293.23046875,20327.5390625,2384536200,East Asia,-0.3069137443160707,May,Wednesday
2010-05-06,20177.470703125,20303.220703125,19888.490234375,20133.41015625,2153780000,East Asia,-0.21836506430003683,May,Thursday
2010-05-07,19699.5,20037.599609375,19699.5,19920.2890625,2324807000,East Asia,1.1207851087591056,May,Friday
2010-05-10,20118.94921875,20491.94921875,20035.599609375,20426.640625,1820977600,East Asia,1.5293612151634877,May,Monday
2010-05-11,20346.5390625,20398.4296875,19977.099609375,20146.509765625,1888728800,East Asia,-0.9831121462994512,May,Tuesday
2010-05-12,20175.740234375,20237.859375,20003.490234375,20212.490234375,1157921500,East Asia,0.18214945064263924,May,Wednesday
2010-05-13,20411.55078125,20526.580078125,20273.990234375,20422.4609375,1340553400,East Asia,0.05345089340307275,May,Thursday
2010-05-14,20258.44921875,20352.80078125,20130.779296875,20145.4296875,1366467100,East Asia,-0.5578883656375629,May,Friday
2010-05-17,19832.029296875,19832.029296875,19593.5,19715.19921875,1728648000,East Asia,-0.5890979504725182,May,Monday
2010-05-18,19768.80078125,20013.330078125,19672.390625,19944.939453125,1350108900,East Asia,0.8909932060323114,May,Tuesday
2010-05-19,19552.16015625,19785.859375,19546.220703125,19578.98046875,1293434300,East Asia,0.13717314243371048,May,Wednesday
2010-05-20,19694.470703125,19747.16015625,19276.4609375,19545.830078125,1585500000,East Asia,-0.7547327736836035,May,Thursday
2010-05-24,19470.279296875,19757.439453125,19470.279296875,19667.759765625,1641682500,East Asia,1.0142662349055045,May,Monday
2010-05-25,19317.240234375,19328.359375,18974.51953125,18985.5,2165693400,East Asia,-1.7173272700966298,May,Tuesday
2010-05-26,19177.33984375,19242.060546875,19047.69921875,19196.44921875,2264630000,East Asia,0.09964559816792239,May,Wednesday
2010-05-27,19015.890625,19555.779296875,18971.51953125,19431.369140625,2136796800,East Asia,2.184901689951743,May,Thursday
