,Open,High,Low,Close,Volume,Region,Change In Price (%),Month,Day of Week
2010-01-04,2533.947998046875,2576.055908203125,2532.89599609375,2575.4130859375,18339300,ASEAN & Oceania,1.6363827482878734,Jan,Monday
2010-01-05,2575.616943359375,2606.069091796875,2575.616943359375,2605.277099609375,57043800,ASEAN & Oceania,1.1515748227418587,Jan,Tuesday
2010-01-06,2605.48095703125,2622.115966796875,2587.7099609375,2603.297119140625,51569100,ASEAN & Oceania,-0.0838170735706823,Jan,Wednesday
2010-01-07,2603.5009765625,2611.60302734375,2570.27294921875,2586.89501953125,45510800,ASEAN & Oceania,-0.6378317957527894,Jan,Thursday
2010-01-08,2586.79296875,2614.535888671875,2583.846923828125,2614.3701171875,73723500,ASEAN & Oceania,1.066074818149283,Jan,Friday
2010-01-11,2615.60791015625,2649.197021484375,2615.60791015625,2632.2041015625,52891200,ASEAN & Oceania,0.6345060871626812,Jan,Monday
2010-01-12,2632.305908203125,2659.97607421875,2623.77392578125,2659.551025390625,57497400,ASEAN & Oceania,1.0350285315470105,Jan,Tuesday
2010-01-13,2657.903076171875,2657.903076171875,2623.4609375,2632.8720703125,42685500,ASEAN & Oceania,-0.9417576616611115,Jan,Wednesday
2010-01-14,2633.58203125,2661.927978515625,2633.58203125,2645.180908203125,53126200,ASEAN & Oceania,0.4404220873127587,Jan,Thursday
2010-01-15,2646.7529296875,2655.805908203125,2638.35595703125,2647.090087890625,47643800,ASEAN & Oceania,0.01273855974024776,Jan,Friday
2010-01-18,2645.44189453125,2648.924072265625,2629.907958984375,2642.548095703125,30861500,ASEAN & Oceania,-0.10938810767710158,Jan,Monday
2010-01-19,2642.35400390625,2666.572998046875,2640.177978515625,2666.071044921875,32768000,ASEAN & Oceania,0.8975724289994291,Jan,Tuesday
2010-01-20,2666.577880859375,2689.77490234375,2655.0,2667.26611328125,36995600,ASEAN & Oceania,0.025809575141799306,Jan,Wednesday
2010-01-21,2664.658935546875,2664.658935546875,2621.360107421875,2638.382080078125,32438400,ASEAN & Oceania,-0.9861245324200235,Jan,Thursday
2010-01-22,2636.9619140625,2636.9619140625,2580.16796875,2610.340087890625,36693100,ASEAN & Oceania,-1.0095643031438952,Jan,Friday
2010-01-25,2609.73095703125,2609.73095703125,2575.962890625,2597.860107421875,33669400,ASEAN & Oceania,-0.45486871270741697,Jan,Monday
2010-01-26,2597.35302734375,2608.739990234375,2568.948974609375,2578.4150390625,42143000,ASEAN & Oceania,-0.7291264638221867,Jan,Tuesday
2010-01-27,2577.907958984375,2594.24609375,2554.882080078125,2564.553955078125,26010100,ASEAN & Oceania,-0.5180170944315293,Jan,Wednesday
2010-01-28,2565.3779296875,2619.97802734375,2565.3779296875,2619.56494140625,33551500,ASEAN & Oceania,2.1122428431178855,Jan,Thursday
2010-01-29,2619.260986328125,2619.260986328125,2569.26611328125,2610.7958984375,21712000,ASEAN & Oceania,-0.32318611756562643,Jan,Friday
2010-02-01,2610.593017578125,2610.593017578125,2571.759033203125,2587.549072265625,32319600,ASEAN & Oceania,-0.8827092219023138,Feb,Monday
2010-02-02,2588.259033203125,2613.673095703125,2574.110107421875,2580.2509765625,30633100,ASEAN & Oceania,-0.3093993506018813,Feb,Tuesday
2010-02-03,2580.656005859375,2606.282958984375,2580.656005859375,2604.549072265625,38272000,ASEAN & Oceania,0.9258524325598155,Feb,Wednesday
