,Open,High,Low,Close,Volume,Region,Change In Price (%),Month,Day of Week
2010-01-04,1272.31005859375,1275.75,1272.25,1275.75,56508200,ASEAN & Oceania,0.2703697406945029,Jan,Monday
2010-01-05,1278.260009765625,1290.550048828125,1278.260009765625,1288.239990234375,136646600,ASEAN & Oceania,0.7807472965206724,Jan,Tuesday
2010-01-06,1288.8599853515625,1296.43994140625,1288.02001953125,1293.1700439453125,117740300,ASEAN & Oceania,0.33440859695666203,Jan,Wednesday
2010-01-07,1293.68994140625,1299.699951171875,1290.3599853515625,1291.4200439453125,115024400,ASEAN & Oceania,-0.17545915665620046,Jan,Thursday
2010-01-08,1294.9300537109375,1295.510009765625,1290.8599853515625,1292.97998046875,74587200,ASEAN & Oceania,-0.15059294025952136,Jan,Friday
2010-01-11,1292.6800537109375,1296.56005859375,1291.1600341796875,1294.510009765625,92427600,ASEAN & Oceania,0.14156295283076328,Jan,Monday
2010-01-12,1295.0,1296.0699462890625,1291.3499755859375,1292.8499755859375,95212000,ASEAN & Oceania,-0.16602505127895753,Jan,Tuesday
2010-01-13,1292.72998046875,1292.949951171875,1286.43994140625,1289.510009765625,92362400,ASEAN & Oceania,-0.24908300664284302,Jan,Wednesday
2010-01-14,1290.5,1294.93994140625,1289.739990234375,1294.7099609375,103604300,ASEAN & Oceania,0.32622711642774116,Jan,Thursday
2010-01-15,1295.719970703125,1300.8900146484375,1295.719970703125,1298.5799560546875,99995400,ASEAN & Oceania,0.22072557467880372,Jan,Friday
2010-01-18,1286.25,1298.68994140625,1286.25,1297.989990234375,93256800,ASEAN & Oceania,0.9127300473760933,Jan,Monday
2010-01-19,1298.3800048828125,1302.3499755859375,1298.3800048828125,1300.3499755859375,91881200,ASEAN & Oceania,0.15172528040454558,Jan,Tuesday
2010-01-20,1301.260009765625,1307.93994140625,1301.2099609375,1306.6199951171875,138379000,ASEAN & Oceania,0.4119073291530651,Jan,Wednesday
2010-01-21,1303.5899658203125,1308.52001953125,1302.8199462890625,1308.3599853515625,101398500,ASEAN & Oceania,0.36591410307829125,Jan,Thursday
2010-01-22,1303.4300537109375,1303.4300537109375,1296.43994140625,1300.449951171875,94221600,ASEAN & Oceania,-0.22863540169094482,Jan,Friday
2010-01-25,1297.31005859375,1297.31005859375,1292.760009765625,1296.7900390625,64897200,ASEAN & Oceania,-0.04008444456321317,Jan,Monday
2010-01-26,1296.81005859375,1297.449951171875,1278.0999755859375,1283.02001953125,118515400,ASEAN & Oceania,-1.063381562405045,Jan,Tuesday
2010-01-27,1281.530029296875,1281.530029296875,1262.3199462890625,1265.77001953125,152903600,ASEAN & Oceania,-1.2297807624743602,Jan,Wednesday
2010-01-28,1267.2900390625,1267.8499755859375,1261.68994140625,1264.510009765625,122218500,ASEAN & Oceania,-0.21936803819049785,Jan,Thursday
2010-01-29,1258.4599609375,1260.0899658203125,1253.0899658203125,1259.1600341796875,146463700,ASEAN & Oceania,0.05562936159414835,Jan,Friday
2010-02-02,1261.199951171875,1268.2099609375,1261.1199951171875,1263.760009765625,122226100,ASEAN & Oceania,0.20298594139424592,Feb,Tuesday
2010-02-03,1263.8699951171875,1267.6800537109375,1263.0699462890625,1267.1500244140625,83913600,ASEAN & Oceania,0.2595226810943377,Feb,Wednesday
2010-02-04,1267.280029296875,1267.280029296875,1263.8800048828125,1265.030029296875,72901400,ASEAN & Oceania,-0.17754560538986536,Feb,Thursday
2010-02-05,1248.1500244140625,1253.0,1247.4599609375,1247.9000244140625,137432000,ASEAN & Oceania,-0.020029643481148125,Feb,Friday
2010-02-08,1247.81005859375,1247.8800048828125,1234.5899658203125,1235.219970703125,112665400,ASEAN & Oceania,-1.0089747076420996,Feb,Monday
2010-02-09,1228.739990234375,1234.77001953125,1224.3699951171875,1233.8599853515625,146006900,ASEAN & Oceania,0.4166866186401967,Feb,Tuesday
2010-02-10,1240.1199951171875,1247.9100341796875,1240.1199951171875,1246.1700439453125,113769400,ASEAN & Oceania,0.4878599532260013,Feb,Wednesday
2010-02-11,1247.530029296875,1249.4200439453125,1244.8599853515625,1249.4200439453125,86269800,ASEAN & Oceania,0.1515005333781615,Feb,Thursday
2010-02-12,1250.2900390625,1254.77001953125,1250.2900390625,1253.3900146484375,64744800,ASEAN & Oceania,0.24794051692693178,Feb,Friday
2010-02-17,1256.43994140625,1264.9100341796875,1256.3599853515625,1259.0699462890625,96099600,ASEAN & Oceania,0.20932197362883176,Feb,Wednesday
2010-02-18,1261.4599609375,1262.199951171875,1258.25,1259.0,88677800,ASEAN & Oceania,-0.19500903823152582,Feb,Thursday
2010-02-19,1258.3599853515625,1259.260009765625,1255.780029296875,1257.6700439453125,106891800,ASEAN & Oceania,-0.05482861933640103,Feb,Friday
2010-02-22,1260.510009765625,1267.0899658203125,1260.510009765625,1266.43994140625,87683600,ASEAN & Oceania,0.47043907582515687,Feb,Monday
2010-02-23,1265.1500244140625,1267.8299560546875,1262.4300537109375,1266.4300537109375,101151700,ASEAN & Oceania,0.10117608759228602,Feb,Tuesday
2010-02-24,1268.300048828125,1273.300048828125,1268.300048828125,1270.780029296875,99487200,ASEAN & Oceania,0.19553578595549492,Feb,Wednesday
2010-02-25,1271.030029296875,1277.6600341796875,1270.030029296875,1270.780029296875,170515800,ASEAN & Oceania,-0.01966908682230728,Feb,Thursday
2010-03-01,1276.52001953125,1284.969970703125,1276.52001953125,1283.4000244140625,176568700,ASEAN & Oceania,0.538965686205133,Mar,Monday
2010-03-02,1286.4000244140625,1292.81005859375,1285.9599609375,1288.0699462890625,156606800,ASEAN & Oceania,0.12981357612773883,Mar,Tuesday
2010-03-03,1290.510009765625,1292.3499755859375,1284.1400146484375,1286.0999755859375,154316700,ASEAN & Oceania,-0.3417280103459581,Mar,Wednesday
2010-03-04,1286.68994140625,1287.780029296875,1284.0899658203125,1284.0899658203125,125075900,ASEAN & Oceania,-0.20206698616886154,Mar,Thursday
2010-03-05,1295.6700439453125,1300.739990234375,1289.8699951171875,1299.780029296875,148844300,ASEAN & Oceania,0.3172092594691472,Mar,Friday
2010-03-08,1312.1800537109375,1325.68994140625,1312.1800537109375,1324.219970703125,194749000,ASEAN & Oceania,0.9175506789741062,Mar,Monday
2010-03-09,1323.68994140625,1323.68994140625,1316.2900390625,1317.93994140625,120910000,ASEAN & Oceania,-0.4343917574754225,Mar,Tuesday
2010-03-10,1318.8399658203125,1330.280029296875,1318.8399658203125,1328.219970703125,121150000,ASEAN & Oceania,0.7112314705278271,Mar,Wednesday
2010-03-11,1326.3499755859375,1334.3399658203125,1318.8299560546875,1321.4300537109375,103337600,ASEAN & Oceania,-0.37093692958576346,Mar,Thursday
2010-03-12,1319.5999755859375,1321.8900146484375,1308.7900390625,1311.199951171875,109311500,ASEAN & Oceania,-0.6365583941703746,Mar,Friday
2010-03-15,1311.989990234375,1313.3599853515625,1298.75,1299.6700439453125,90177200,ASEAN & Oceania,-0.9390274606334195,Mar,Monday
2010-03-16,1299.6800537109375,1304.4300537109375,1295.31005859375,1298.8599853515625,83064000,ASEAN & Oceania,-0.06309771062758741,Mar,Tuesday
2010-03-17,1303.0400390625,1307.0799560546875,1300.2900390625,1301.949951171875,95358000,ASEAN & Oceania,-0.08365728281145428,Mar,Wednesday
2010-03-18,1306.6800537109375,1307.239990234375,1300.6199951171875,1301.93994140625,109725200,ASEAN & Oceania,-0.362759980243496,Mar,Thursday
2010-03-19,1301.8299560546875,1303.8499755859375,1294.8699951171875,1296.5999755859375,101926400,ASEAN & Oceania,-0.40174067622471404,Mar,Friday
2010-03-22,1295.8299560546875,1297.93994140625,1292.2099609375,1293.6500244140625,96090200,ASEAN & Oceania,-0.16822667437493635,Mar,Monday
2010-03-23,1295.8199462890625,1305.030029296875,1295.77001953125,1304.8499755859375,96196000,ASEAN & Oceania,0.69685833458074,Mar,Tuesday
2010-03-24,1309.760009765625,1314.72998046875,1307.6300048828125,1309.449951171875,89597800,ASEAN & Oceania,-0.02367293179194587,Mar,Wednesday
2010-03-25,1310.75,1312.530029296875,1308.800048828125,1312.47998046875,99142800,ASEAN & Oceania,0.1319840144001526,Mar,Thursday
2010-03-26,1313.3699951171875,1315.1400146484375,1313.06005859375,1315.1400146484375,90284000,ASEAN & Oceania,0.13476929866149923,Mar,Friday
2010-03-29,1313.97998046875,1320.8299560546875,1313.1099853515625,1319.2099609375,91132000,ASEAN & Oceania,0.39802588673263145,Mar,Monday
2010-03-30,1319.2099609375,1323.8299560546875,1317.4100341796875,1319.3499755859375,65188200,ASEAN & Oceania,0.01061352268277282,Mar,Tuesday
2010-03-31,1319.25,1321.239990234375,1316.47998046875,1320.5699462890625,113073300,ASEAN & Oceania,0.10005277915956035,Mar,Wednesday
2010-04-01,1319.7900390625,1332.5799560546875,1319.56005859375,1329.8399658203125,90968800,ASEAN & Oceania,0.7614792095984727,Apr,Thursday
2010-04-02,1329.280029296875,1337.2099609375,1329.280029296875,1335.93994140625,60418400,ASEAN & Oceania,0.5010164873159023,Apr,Friday
2010-04-05,1339.300048828125,1342.199951171875,1339.280029296875,1341.75,66001400,ASEAN & Oceania,0.1829277296016441,Apr,Monday
2010-04-06,1342.6400146484375,1346.22998046875,1340.5799560546875,1344.3699951171875,101900100,ASEAN & Oceania,0.12884916655809528,Apr,Tuesday
2010-04-07,1345.9200439453125,1347.6099853515625,1341.550048828125,1345.0899658203125,96155200,ASEAN & Oceania,-0.06167365801067806,Apr,Wednesday
2010-04-08,1342.31005859375,1342.31005859375,1331.4599609375,1332.9300537109375,114846800,ASEAN & Oceania,-0.6987956934956827,Apr,Thursday
2010-04-09,1333.77001953125,1338.6300048828125,1332.97998046875,1333.97998046875,86192200,ASEAN & Oceania,0.015741914604872453,Apr,Friday
2010-04-12,1336.3900146484375,1344.1199951171875,1336.3900146484375,1339.6099853515625,112168300,ASEAN & Oceania,0.240945432682844,Apr,Monday
2010-04-13,1340.8499755859375,1341.010009765625,1333.5999755859375,1334.52001953125,84707400,ASEAN & Oceania,-0.4720853316883103,Apr,Tuesday
2010-04-14,1334.1800537109375,1341.52001953125,1334.1800537109375,1335.8900146484375,84715200,ASEAN & Oceania,0.1281656799428122,Apr,Wednesday
2010-04-15,1338.6400146484375,1342.06005859375,1334.1400146484375,1338.8299560546875,100534600,ASEAN & Oceania,0.014189132565253825,Apr,Thursday
2010-04-16,1340.3399658203125,1340.56005859375,1330.27001953125,1332.77001953125,75909000,ASEAN & Oceania,-0.5647780773611085,Apr,Friday
2010-04-19,1329.72998046875,1329.72998046875,1321.25,1326.6700439453125,83487800,ASEAN & Oceania,-0.2301171341838007,Apr,Monday
2010-04-20,1329.530029296875,1335.9000244140625,1329.3699951171875,1335.9000244140625,76536000,ASEAN & Oceania,0.4791163025145274,Apr,Tuesday
2010-04-21,1338.0699462890625,1339.1500244140625,1333.6400146484375,1333.6400146484375,93977200,ASEAN & Oceania,-0.3310687645971539,Apr,Wednesday
2010-04-22,1334.239990234375,1337.010009765625,1331.47998046875,1337.010009765625,75428400,ASEAN & Oceania,0.20761029136620418,Apr,Thursday
2010-04-23,1337.0699462890625,1338.800048828125,1334.949951171875,1336.780029296875,56413400,ASEAN & Oceania,-0.021683008655765758,Apr,Friday
2010-04-26,1336.5,1340.3699951171875,1336.489990234375,1340.0699462890625,54767400,ASEAN & Oceania,0.26711158167321364,Apr,Monday
2010-04-27,1339.5799560546875,1340.0699462890625,1337.0699462890625,1339.719970703125,89002000,ASEAN & Oceania,0.01045213074476489,Apr,Tuesday
2010-04-28,1330.530029296875,1335.949951171875,1324.3399658203125,1333.1700439453125,86258800,ASEAN & Oceania,0.198418268682942,Apr,Wednesday
2010-04-29,1332.81005859375,1336.8900146484375,1332.81005859375,1335.8599853515625,77970800,ASEAN & Oceania,0.22883431424808443,Apr,Thursday
2010-04-30,1338.3199462890625,1348.1500244140625,1338.3199462890625,1346.3800048828125,133424400,ASEAN & Oceania,0.6022519963256316,Apr,Friday
2010-05-03,1344.239990234375,1347.5400390625,1340.260009765625,1346.8900146484375,78244800,ASEAN & Oceania,0.1971392335679922,May,Monday
2010-05-04,1348.3599853515625,1349.9200439453125,1341.9000244140625,1342.8900146484375,76576800,ASEAN & Oceania,-0.40567584046917526,May,Tuesday
2010-05-05,1326.989990234375,1336.6500244140625,1324.75,1335.6500244140625,123063800,ASEAN & Oceania,0.6526073477131468,May,Wednesday
2010-05-06,1333.219970703125,1337.8800048828125,1328.8900146484375,1331.8699951171875,123065400,ASEAN & Oceania,-0.10125677799632256,May,Thursday
2010-05-07,1318.7099609375,1332.8900146484375,1315.6300048828125,1332.8900146484375,152622300,ASEAN & Oceania,1.075297383880879,May,Friday
2010-05-10,1331.5999755859375,1337.199951171875,1330.9599609375,1333.969970703125,107774700,ASEAN & Oceania,0.17798101236406544,May,Monday
2010-05-11,1333.18994140625,1341.8800048828125,1332.3800048828125,1340.719970703125,110404900,ASEAN & Oceania,0.5648129394775,May,Tuesday
2010-05-12,1341.02001953125,1344.0999755859375,1337.969970703125,1344.0999755859375,87190800,ASEAN & Oceania,0.22967263797926676,May,Wednesday
2010-05-13,1345.6500244140625,1348.0899658203125,1344.27001953125,1346.9200439453125,69926200,ASEAN & Oceania,0.0943796312717347,May,Thursday
2010-05-14,1339.9100341796875,1341.22998046875,1337.3599853515625,1339.300048828125,90595200,ASEAN & Oceania,-0.04552435133721063,May,Friday
2010-05-17,1337.239990234375,1337.300048828125,1326.9599609375,1334.27001953125,83872200,ASEAN & Oceania,-0.22209705997533474,May,Monday
2010-05-18,1333.27001953125,1333.27001953125,1327.050048828125,1330.1700439453125,67770000,ASEAN & Oceania,-0.23250920972687789,May,Tuesday
2010-05-19,1329.050048828125,1329.050048828125,1306.6600341796875,1308.22998046875,112262700,ASEAN & Oceania,-1.5665375715333565,May,Wednesday
2010-05-20,1304.8599853515625,1309.1300048828125,1300.43994140625,1304.1600341796875,128742100,ASEAN & Oceania,-0.05364186040898597,May,Thursday
2010-05-21,1290.510009765625,1290.510009765625,1280.6300048828125,1285.72998046875,158857900,ASEAN & Oceania,-0.3703984673271245,May,Friday
2010-05-24,1282.9599609375,1282.9599609375,1264.1099853515625,1273.68994140625,123743100,ASEAN & Oceania,-0.7225494024362302,May,Monday
2010-05-25,1264.969970703125,1265.780029296875,1247.8499755859375,1250.1300048828125,182583900,ASEAN & Oceania,-1.1731476765463298,May,Tuesday
2010-05-26,1256.1600341796875,1260.27001953125,1247.3499755859375,1248.93994140625,194649700,ASEAN & Oceania,-0.5747749153755278,May,Wednesday
2010-05-27,1244.5400390625,1269.4200439453125,1243.8599853515625,1269.1600341796875,102771300,ASEAN & Oceania,1.9782405020680176,May,Thursday
2010-05-31,1276.4300537109375,1285.02001953125,1271.550048828125,1285.010009765625,148750200,ASEAN & Oceania,0.6721838011995392,May,Monday
2010-06-01,1284.25,1284.25,1274.56005859375,1282.969970703125,77367200,ASEAN & Oceania,-0.09967134879306988,Jun,Tuesday
2010-06-02,1280.3399658203125,1281.9599609375,1276.02001953125,1276.02001953125,77071200,ASEAN & Oceania,-0.337406189323686,Jun,Wednesday
