,Open,High,Low,Close,Volume,Region,Change In Price (%),Month,Day of Week
2010-01-04,2329.800048828125,2393.60009765625,2329.800048828125,2384.5,0,,2.3478388713824923,Jan,Monday
2010-01-05,2384.89990234375,2411.39990234375,2384.89990234375,2401.800048828125,0,,0.7086312707617815,Jan,Tuesday
2010-01-06,2400.39990234375,2401.10009765625,2347.300048828125,2362.5,0,,-1.5788995119831717,Jan,Wednesday
2010-01-07,2362.5,2392.800048828125,2331.89990234375,2389.5,0,,1.1428571428571428,Jan,Thursday
2010-01-08,2378.10009765625,2378.10009765625,2334.699951171875,2352.800048828125,0,,-1.0638765312301028,Jan,Friday
2010-01-11,2357.300048828125,2361.10009765625,2313.699951171875,2317.699951171875,0,,-1.6798921153858302,Jan,Monday
2010-01-12,2316.89990234375,2316.89990234375,2247.60009765625,2270.5,0,,-2.0026718589271972,Jan,Tuesday
2010-01-13,2270.5,2340.0,2270.5,2338.10009765625,0,,2.977322072506056,Jan,Wednesday
2010-01-14,2341.89990234375,2385.699951171875,2341.89990234375,2381.0,0,,1.6695887649646775,Jan,Thursday
2010-01-15,2379.60009765625,2381.60009765625,2350.39990234375,2371.10009765625,0,,-0.3572028765829999,Jan,Friday
2010-01-18,2371.10009765625,2379.800048828125,2368.39990234375,2371.89990234375,0,,0.03373137592506445,Jan,Monday
2010-01-19,2368.60009765625,2395.300048828125,2355.800048828125,2388.300048828125,0,,0.8317128413263289,Jan,Tuesday
2010-01-20,2388.5,2388.5,2336.10009765625,2351.5,0,,-1.5490893866443374,Jan,Wednesday
2010-01-21,2352.39990234375,2362.5,2314.10009765625,2340.199951171875,0,,-0.5186172282918354,Jan,Thursday
2010-01-22,2332.699951171875,2349.800048828125,2303.800048828125,2331.60009765625,0,,-0.0471493779160268,Jan,Friday
2010-01-25,2332.60009765625,2343.699951171875,2297.300048828125,2321.199951171875,0,,-0.4887312872802175,Jan,Monday
2010-01-26,2323.39990234375,2325.39990234375,2298.89990234375,2309.300048828125,0,,-0.6068629641157188,Jan,Tuesday
2010-01-27,2309.89990234375,2315.699951171875,2281.10009765625,2306.199951171875,0,,-0.16017798728511257,Jan,Wednesday
2010-01-28,2306.89990234375,2327.60009765625,2281.60009765625,2293.800048828125,0,,-0.5678553066960509,Jan,Thursday
2010-01-29,2297.199951171875,2329.60009765625,2292.89990234375,2298.60009765625,0,,0.060950135562241346,Jan,Friday
2010-02-01,2296.699951171875,2315.300048828125,2287.699951171875,2313.800048828125,0,,0.7445507911264071,Feb,Monday
2010-02-02,2314.89990234375,2342.800048828125,2314.39990234375,2342.800048828125,0,,1.2052420260645889,Feb,Tuesday
2010-02-03,2343.699951171875,2343.699951171875,2320.5,2325.800048828125,0,,-0.7637454758148482,Feb,Wednesday
2010-02-04,2320.300048828125,2320.300048828125,2235.10009765625,2237.0,0,,-3.590055039226326,Feb,Thursday
2010-02-05,2227.199951171875,2231.699951171875,2151.10009765625,2165.199951171875,0,,-2.7837644288460837,Feb,Friday
2010-02-08,2165.199951171875,2202.199951171875,2165.199951171875,2187.800048828125,0,,1.043788018008134,Feb,Monday
2010-02-09,2191.0,2239.300048828125,2191.0,2233.699951171875,0,,1.9488795605602465,Feb,Tuesday
2010-02-10,2234.0,2247.60009765625,2218.300048828125,2239.39990234375,0,,0.24171451852059087,Feb,Wednesday
2010-02-11,2240.800048828125,2283.800048828125,2240.800048828125,2281.0,0,,1.7939999239511992,Feb,Thursday
2010-02-12,2278.0,2280.60009765625,2257.89990234375,2273.39990234375,0,,-0.20193580580553117,Feb,Friday
2010-02-17,2306.60009765625,2329.39990234375,2306.60009765625,2320.699951171875,0,,0.6112829670800737,Feb,Wednesday
2010-02-18,2320.699951171875,2334.39990234375,2311.199951171875,2334.39990234375,0,,0.5903370302118113,Feb,Thursday
2010-02-19,2333.89990234375,2336.89990234375,2308.199951171875,2335.0,0,,0.047135597167010435,Feb,Friday
2010-02-22,2335.60009765625,2358.10009765625,2335.60009765625,2346.699951171875,0,,0.47524632006838774,Feb,Monday
2010-02-23,2345.60009765625,2345.60009765625,2285.300048828125,2296.60009765625,0,,-2.089017648360492,Feb,Tuesday
2010-02-24,2296.60009765625,2314.300048828125,2288.800048828125,2292.199951171875,0,,-0.1915939343930832,Feb,Wednesday
2010-02-25,2237.199951171875,2237.199951171875,2188.5,2211.699951171875,0,,-1.1398176540564808,Feb,Thursday
2010-02-26,2211.10009765625,2225.300048828125,2202.39990234375,2221.39990234375,0,,0.46582263274366087,Feb,Friday
2010-03-01,2224.5,2265.10009765625,2224.5,2265.10009765625,0,,1.8251336325578782,Mar,Monday
2010-03-02,2269.5,2299.699951171875,2269.199951171875,2285.699951171875,0,,0.7138114638411545,Mar,Tuesday
2010-03-03,2286.0,2315.60009765625,2283.5,2291.300048828125,0,,0.23184815521106739,Mar,Wednesday
2010-03-04,2291.699951171875,2305.5,2277.300048828125,2284.300048828125,0,,-0.3229001396961244,Mar,Thursday
2010-03-05,2284.5,2303.89990234375,2281.60009765625,2298.699951171875,0,,0.6215780771230028,Mar,Friday
2010-03-08,2304.0,2314.300048828125,2296.60009765625,2308.39990234375,0,,0.19096798366970485,Mar,Monday
2010-03-09,2308.39990234375,2319.10009765625,2296.5,2319.10009765625,0,,0.46353299970407835,Mar,Tuesday
2010-03-10,2319.10009765625,2332.199951171875,2318.0,2332.199951171875,0,,0.564867964468808,Mar,Wednesday
2010-03-11,2333.300048828125,2344.800048828125,2330.60009765625,2332.199951171875,0,,-0.04714771496287039,Mar,Thursday
2010-03-12,2346.10009765625,2360.199951171875,2346.10009765625,2360.0,0,,0.5924684269710392,Mar,Friday
2010-03-15,2360.0,2360.0,2325.89990234375,2351.39990234375,0,,-0.3644109176377119,Mar,Monday
2010-03-16,2352.89990234375,2379.0,2352.89990234375,2379.0,0,,1.1092736087179655,Mar,Tuesday
2010-03-17,2380.89990234375,2400.699951171875,2380.89990234375,2382.39990234375,0,,0.06300138861459086,Mar,Wednesday
2010-03-18,2382.39990234375,2387.10009765625,2365.89990234375,2372.89990234375,0,,-0.398757571751666,Mar,Thursday
