,Open,High,Low,Close,Volume,Region,Change In Price (%),Month,Day of Week
2010-01-04,686.3699951171875,696.989990234375,686.3699951171875,696.989990234375,237559300,Europe,1.5472697222690064,Jan,Monday
2010-01-05,696.9099731445312,700.25,694.4400024414062,697.5700073242188,298451700,Europe,0.09470867186895837,Jan,Tuesday
2010-01-06,697.7000122070312,699.4199829101562,694.77001953125,698.27001953125,223696900,Europe,0.08169805277996892,Jan,Wednesday
2010-01-07,696.0700073242188,698.9099731445312,692.1699829101562,697.760009765625,271033600,Europe,0.24279202143802076,Jan,Thursday
2010-01-08,701.3499755859375,702.6300048828125,695.8699951171875,701.3800048828125,329450900,Europe,0.004281642249992559,Jan,Friday
2010-01-11,705.6500244140625,708.1099853515625,700.1300048828125,700.719970703125,286815200,Europe,-0.6986542252345527,Jan,Monday
2010-01-12,701.1699829101562,702.1500244140625,690.5700073242188,693.5,289996800,Europe,-1.0938835228402861,Jan,Tuesday
2010-01-13,690.9099731445312,695.6799926757812,690.9099731445312,694.4400024414062,259278400,Europe,0.5109246405590029,Jan,Wednesday
2010-01-14,698.8800048828125,698.97998046875,693.3800048828125,696.3200073242188,271435300,Europe,-0.366300014409914,Jan,Thursday
2010-01-15,698.1500244140625,701.1900024414062,686.9000244140625,687.7000122070312,376521400,Europe,-1.4968147019405533,Jan,Friday
2010-01-18,690.3499755859375,692.3599853515625,687.77001953125,691.72998046875,193432600,Europe,0.19989931652292953,Jan,Monday
2010-01-19,690.0999755859375,697.5900268554688,684.27001953125,695.8699951171875,267337700,Europe,0.8361135683783929,Jan,Tuesday
2010-01-20,694.6099853515625,697.5800170898438,682.7999877929688,684.8200073242188,327495900,Europe,-1.4094208597345106,Jan,Wednesday
2010-01-21,689.3099975585938,690.6900024414062,674.530029296875,674.5800170898438,255541300,Europe,-2.1369167023430413,Jan,Thursday
2010-01-22,670.9500122070312,674.5599975585938,663.0700073242188,667.989990234375,394580600,Europe,-0.44116877841905344,Jan,Friday
2010-01-25,663.6900024414062,671.260009765625,662.8499755859375,663.1199951171875,290574200,Europe,-0.08588457293645507,Jan,Monday
2010-01-26,658.22998046875,666.719970703125,656.6099853515625,666.719970703125,299340400,Europe,1.2898212610019621,Jan,Tuesday
2010-01-27,660.4199829101562,665.5800170898438,657.0800170898438,660.739990234375,288570000,Europe,0.048455124390487124,Jan,Wednesday
2010-01-28,668.510009765625,668.6699829101562,651.4099731445312,651.4099731445312,349378800,Europe,-2.557932771580923,Jan,Thursday
2010-01-29,655.3400268554688,663.4400024414062,651.75,658.8800048828125,326600100,Europe,0.5401742427255204,Jan,Friday
2010-02-01,654.7999877929688,665.4099731445312,653.510009765625,663.760009765625,272329800,Europe,1.3683601312908367,Feb,Monday
2010-02-02,664.4600219726562,671.6300048828125,659.4000244140625,670.8699951171875,289061500,Europe,0.9646890606753512,Feb,Tuesday
2010-02-03,671.469970703125,673.5999755859375,666.1199951171875,667.3200073242188,312625900,Europe,-0.6180415446666431,Feb,Wednesday
2010-02-04,667.0700073242188,668.3900146484375,646.989990234375,647.969970703125,489508800,Europe,-2.8632731814324375,Feb,Thursday
2010-02-05,643.8900146484375,644.9400024414062,628.6199951171875,628.739990234375,626327200,Europe,-2.3528901007005643,Feb,Friday
2010-02-08,634.0,636.8699951171875,625.530029296875,634.8699951171875,396965100,Europe,0.13722320460370663,Feb,Monday
2010-02-09,633.8900146484375,639.9400024414062,631.3200073242188,636.75,356134300,Europe,0.4511800604949866,Feb,Tuesday
2010-02-10,640.6199951171875,646.7000122070312,637.4299926757812,640.52001953125,417910700,Europe,-0.015606067044350002,Feb,Wednesday
2010-02-11,644.4199829101562,647.7100219726562,633.4500122070312,639.27001953125,468493300,Europe,-0.7991625827072231,Feb,Thursday
2010-02-12,644.47998046875,646.8699951171875,633.760009765625,636.969970703125,348732100,Europe,-1.1652820868326648,Feb,Friday
2010-02-15,640.5900268554688,643.4400024414062,636.75,638.1199951171875,194893700,Europe,-0.38558697992944924,Feb,Monday
2010-02-16,643.2100219726562,645.9000244140625,636.3599853515625,645.9000244140625,298781400,Europe,0.4182152562169819,Feb,Tuesday
2010-02-17,651.97998046875,658.4600219726562,651.510009765625,655.510009765625,331721300,Europe,0.5414321608981056,Feb,Wednesday
2010-02-18,654.6900024414062,658.72998046875,653.0900268554688,658.3300170898438,284208900,Europe,0.5559905657431016,Feb,Thursday
2010-02-19,652.5399780273438,661.6099853515625,651.719970703125,661.3099975585938,293734200,Europe,1.3439819515368459,Feb,Friday
2010-02-22,662.8300170898438,663.3099975585938,658.72998046875,659.47998046875,279394200,Europe,-0.5054141385753909,Feb,Monday
2010-02-23,663.2999877929688,665.1199951171875,650.4099731445312,652.02001953125,303092500,Europe,-1.70058321563538,Feb,Tuesday
2010-02-24,653.2899780273438,655.4299926757812,648.3300170898438,653.72998046875,280056400,Europe,0.06735178193531595,Feb,Wednesday
2010-02-25,650.72998046875,655.3499755859375,640.8599853515625,641.6900024414062,371232100,Europe,-1.3892057072323374,Feb,Thursday
2010-02-26,647.9299926757812,652.1500244140625,642.5900268554688,651.969970703125,331737300,Europe,0.6235207619668444,Feb,Friday
2010-03-01,657.3699951171875,662.8599853515625,654.8800048828125,662.8599853515625,346338900,Europe,0.8351446331827656,Mar,Monday
2010-03-02,663.6500244140625,669.3699951171875,661.969970703125,669.3699951171875,273179900,Europe,0.8618956517292634,Mar,Tuesday
2010-03-03,667.6900024414062,676.0700073242188,666.0499877929688,675.0,275029500,Europe,1.0948190824880961,Mar,Wednesday
2010-03-04,669.4099731445312,676.3900146484375,669.4099731445312,673.1799926757812,306296100,Europe,0.5631854442712375,Mar,Thursday
2010-03-05,675.7899780273438,685.0499877929688,675.4400024414062,685.0499877929688,346405400,Europe,1.3702496436326734,Mar,Friday
2010-03-08,687.5499877929688,687.5499877929688,682.6199951171875,683.6099853515625,265273700,Europe,-0.5730495980450284,Mar,Monday
2010-03-09,684.6799926757812,686.0700073242188,679.0599975585938,684.77001953125,259466400,Europe,0.01314874925976999,Mar,Tuesday
2010-03-10,684.9199829101562,691.2100219726562,683.72998046875,690.3499755859375,272013700,Europe,0.7927922693552839,Mar,Wednesday
2010-03-11,686.9500122070312,690.9199829101562,684.9500122070312,687.7000122070312,236071200,Europe,0.10917824975217656,Mar,Thursday
2010-03-12,688.6599731445312,692.4099731445312,686.530029296875,687.8499755859375,243981300,Europe,-0.11761937533485095,Mar,Friday
2010-03-15,686.969970703125,687.5499877929688,680.969970703125,681.4500122070312,196429900,Europe,-0.8035225310422204,Mar,Monday
2010-03-16,685.010009765625,691.5599975585938,684.9600219726562,689.5499877929688,242706400,Europe,0.6627608301515325,Mar,Tuesday
2010-03-17,692.2999877929688,695.6799926757812,690.72998046875,694.1799926757812,304953000,Europe,0.27155928296429677,Mar,Wednesday
2010-03-18,691.9000244140625,695.6599731445312,690.280029296875,692.4099731445312,258830300,Europe,0.07370266114683281,Mar,Thursday
2010-03-19,695.3300170898438,696.6900024414062,687.6099853515625,690.0800170898438,399479300,Europe,-0.7550371580350811,Mar,Friday
2010-03-22,687.52001953125,689.989990234375,680.8900146484375,689.989990234375,254323200,Europe,0.35925800456094675,Mar,Monday
2010-03-23,690.0499877929688,696.1199951171875,690.0499877929688,694.6199951171875,245599400,Europe,0.6622719230581103,Mar,Tuesday
2010-03-24,696.030029296875,696.969970703125,687.469970703125,694.27001953125,279931600,Europe,-0.2528640563687964,Mar,Wednesday
2010-03-25,694.5700073242188,702.77001953125,694.1799926757812,701.8099975585938,299387900,Europe,1.042370122238152,Mar,Thursday
2010-03-26,699.9299926757812,701.969970703125,698.1599731445312,699.5800170898438,226901600,Europe,-0.050001512951255156,Mar,Friday
2010-03-29,701.3900146484375,703.9000244140625,697.4600219726562,701.7899780273438,211576600,Europe,0.057024390218433085,Mar,Monday
2010-03-30,705.1799926757812,706.489990234375,699.1300048828125,700.1099853515625,242309800,Europe,-0.7189664166421939,Mar,Tuesday
2010-03-31,699.1400146484375,702.2999877929688,693.5599975585938,698.510009765625,277683700,Europe,-0.0901114039552289,Mar,Wednesday
2010-04-01,702.260009765625,709.8499755859375,702.260009765625,708.9600219726562,248041500,Europe,0.9540643228805437,Apr,Thursday
2010-04-06,711.6500244140625,714.8099975585938,709.5,713.8900146484375,257413900,Europe,0.31476008677429573,Apr,Tuesday
2010-04-07,713.1500244140625,713.7999877929688,708.9500122070312,709.9099731445312,243694300,Europe,-0.4543295461839656,Apr,Wednesday
2010-04-08,706.97998046875,707.4600219726562,698.4500122070312,702.5,280650200,Europe,-0.6336785471322162,Apr,Thursday
2010-04-09,708.1199951171875,714.4299926757812,708.1199951171875,714.4299926757812,257606800,Europe,0.8910915666983111,Apr,Friday
2010-04-12,718.9500122070312,719.5399780273438,712.469970703125,715.0599975585938,233871900,Europe,-0.5410688618664796,Apr,Monday
2010-04-13,714.0399780273438,715.9500122070312,710.0999755859375,712.1799926757812,277075400,Europe,-0.26048756495413944,Apr,Tuesday
2010-04-14,715.9400024414062,718.7000122070312,714.5800170898438,716.5599975585938,277714100,Europe,0.08659875339738982,Apr,Wednesday
2010-04-15,717.8200073242188,719.6900024414062,712.0499877929688,717.0399780273438,267321600,Europe,-0.1086664190069981,Apr,Thursday
2010-04-16,713.8800048828125,719.3099975585938,703.6099853515625,704.8099975585938,386697700,Europe,-1.2705226735840072,Apr,Friday
2010-04-19,700.3099975585938,704.1699829101562,698.72998046875,701.6300048828125,288677200,Europe,0.18848900184497325,Apr,Monday
2010-04-20,704.4600219726562,711.260009765625,702.4500122070312,711.1900024414062,278052700,Europe,0.9553388778407109,Apr,Tuesday
2010-04-21,713.0,713.2899780273438,704.5599975585938,704.6900024414062,332107900,Europe,-1.165497553799965,Apr,Wednesday
2010-04-22,704.1900024414062,709.6900024414062,693.9099731445312,696.8200073242188,420717900,Europe,-1.0465918419227682,Apr,Thursday
