,Open,High,Low,Close,Volume,Region,Change In Price (%),Month,Day of Week
2010-01-04,8222.387638104936,8240.417840749991,8143.418221602067,8207.8173828125,6429400,East Asia,-0.17720224262978104,Jan,Monday
2010-01-05,8277.677474135648,8283.607138363925,8162.508004257933,8211.3681640625,6762000,East Asia,-0.8010617746383212,Jan,Tuesday
2010-01-06,8237.067733112437,8327.83788965754,8216.888123704612,8327.587890625,6421600,East Asia,1.0989366658802406,Jan,Wednesday
2010-01-07,8344.5269245966,8369.517061204415,8233.55763217159,8237.3876953125,7133000,East Asia,-1.2839461152470144,Jan,Thursday
2010-01-08,8266.837945226247,8290.627891705677,8178.898346053556,8280.8681640625,5764400,East Asia,0.1697168727536849,Jan,Friday
2010-01-11,8291.487429743436,8357.868032117824,8281.68766299693,8323.7880859375,5857000,East Asia,0.3895640736087235,Jan,Monday
2010-01-12,8343.698108926374,8356.937315392532,8262.54803303018,8309.337890625,5246000,East Asia,-0.4118104209045371,Jan,Tuesday
2010-01-13,8229.217644907943,8257.797610664129,8194.777350630507,8196.52734375,4925600,East Asia,-0.39724676838716766,Jan,Wednesday
2010-01-14,8245.828296513035,8313.90810998278,8237.637898665103,8289.9482421875,4837200,East Asia,0.5350577781630809,Jan,Thursday
2010-01-15,8340.567445631561,8380.198152178604,8325.788205749766,8356.857421875,5643400,East Asia,0.1953101674391593,Jan,Friday
2010-01-18,8290.347839612308,8367.618048766075,8290.347839612308,8337.7880859375,5100400,East Asia,0.5722346907872357,Jan,Monday
2010-01-19,8387.627387980603,8395.356849971113,8227.267662901662,8248.9677734375,5582400,East Asia,-1.6531446633144566,Jan,Tuesday
2010-01-20,8309.157857137328,8309.157857137328,8191.407830445412,8220.8974609375,5009800,East Asia,-1.0622062755013764,Jan,Wednesday
2010-01-21,8189.469005029354,8208.178895154877,8107.519119875459,8127.83935546875,4596800,East Asia,-0.7525475647170236,Jan,Thursday
2010-01-22,7986.399676571179,8015.919583369047,7912.81987943959,7927.27978515625,4907200,East Asia,-0.7402571097006647,Jan,Friday
2010-01-25,7845.270124289894,7938.110105086897,7828.310227515446,7872.96044921875,3663800,East Asia,0.3529556597818553,Jan,Monday
2010-01-26,7902.99982320527,7922.039790083211,7572.551368974299,7598.78125,5680000,East Asia,-3.8494063015414124,Jan,Tuesday
2010-01-27,7639.691102578021,7656.921017389423,7530.381460526158,7560.0009765625,3986200,East Asia,-1.0431066511135436,Jan,Wednesday
2010-01-28,7630.131588845156,7756.740978097664,7607.531575803924,7694.55126953125,3931200,East Asia,0.8442800748059417,Jan,Thursday
2010-01-29,7593.3512516606415,7649.7011368465255,7481.871691531753,7640.4111328125,3949400,East Asia,0.6197511427061486,Jan,Friday
2010-02-01,7653.861330065069,7661.671359264399,7493.781854427338,7524.6416015625,3222400,East Asia,-1.6882946127464014,Feb,Monday
2010-02-02,7633.711637651799,7635.7013762917695,7398.772088073686,7429.58203125,3759800,East Asia,-2.6740544585804003,Feb,Tuesday
2010-02-03,7523.761322795199,7550.791004786085,7441.891518083746,7547.951171875,3152400,East Asia,0.3215127120860645,Feb,Wednesday
2010-02-04,7563.1615416760005,7578.151719762765,7504.931779860458,7542.01171875,2813800,East Asia,-0.27964261783193,Feb,Thursday
