,Open,High,Low,Close,Volume,Region,Change In Price (%),Month,Day of Week
2010-01-04,1824.949951171875,1856.68994140625,1824.949951171875,1853.6600341796875,180500,,1.5731983767213222,Jan,Monday
2010-01-05,1853.6600341796875,1860.050048828125,1847.219970703125,1859.9200439453125,165000,,0.33771078030472207,Jan,Tuesday
2010-01-06,1859.9200439453125,1874.27001953125,1857.8599853515625,1866.9000244140625,204500,,0.375283899513437,Jan,Wednesday
2010-01-07,1866.9200439453125,1871.239990234375,1860.2900390625,1868.02001953125,171900,,0.05891926595918649,Jan,Thursday
2010-01-08,1868.02001953125,1872.5,1859.43994140625,1872.5,164400,,0.23982507799216093,Jan,Friday
2010-01-11,1872.5,1884.2099609375,1872.5,1883.02001953125,191400,,0.5618167973965287,Jan,Monday
2010-01-12,1883.02001953125,1883.02001953125,1867.56005859375,1874.3399658203125,187800,,-0.460964494317924,Jan,Tuesday
2010-01-13,1874.3399658203125,1886.4100341796875,1870.4300537109375,1885.5699462890625,163200,,0.5991432009952983,Jan,Wednesday
2010-01-14,1885.5699462890625,1890.6300048828125,1881.5999755859375,1887.9300537109375,141400,,0.12516679248732518,Jan,Thursday
2010-01-15,1887.9300537109375,1895.9200439453125,1879.02001953125,1887.5699462890625,191700,,-0.019074192985442898,Jan,Friday
2010-01-19,1887.5699462890625,1908.81005859375,1887.5699462890625,1907.949951171875,163700,,1.079695347072002,Jan,Tuesday
2010-01-20,1907.949951171875,1907.949951171875,1873.25,1881.8199462890625,150300,,-1.3695330355370845,Jan,Wednesday
2010-01-21,1881.8199462890625,1883.1199951171875,1842.469970703125,1847.3800048828125,167000,,-1.8301400978433326,Jan,Thursday
2010-01-22,1847.3800048828125,1847.3800048828125,1819.3599853515625,1820.31005859375,187300,,-1.4653155397110442,Jan,Friday
2010-01-25,1820.31005859375,1827.18994140625,1818.719970703125,1822.2099609375,126100,,0.10437245758108582,Jan,Monday
2010-01-26,1822.2099609375,1828.469970703125,1803.4000244140625,1814.9300537109375,134900,,-0.3995097920997587,Jan,Tuesday
2010-01-27,1814.9300537109375,1827.1199951171875,1811.6099853515625,1820.75,133800,,0.3206705557143988,Jan,Wednesday
2010-01-28,1820.760009765625,1827.52001953125,1793.93994140625,1800.9599609375,129500,,-1.087460660489448,Jan,Thursday
2010-01-29,1800.9599609375,1820.6300048828125,1788.1800537109375,1796.3299560546875,171100,,-0.2570853868623667,Jan,Friday
